Provincias	Establecimientos y personal empleado (plazas)	Periodo	Total
02 Albacete	Número de apartamentos estimados	2014M08	153
02 Albacete	Número de apartamentos estimados	2014M07	159
02 Albacete	Número de apartamentos estimados	2014M06	155
02 Albacete	Número de apartamentos estimados	2014M05	147
02 Albacete	Número de apartamentos estimados	2014M04	146
02 Albacete	Número de apartamentos estimados	2014M03	144
02 Albacete	Número de apartamentos estimados	2014M02	101
02 Albacete	Número de apartamentos estimados	2014M01	94
02 Albacete	Número de apartamentos estimados	2013M12	""
02 Albacete	Número de apartamentos estimados	2013M11	""
02 Albacete	Número de apartamentos estimados	2013M10	""
02 Albacete	Número de apartamentos estimados	2013M09	""
02 Albacete	Número de apartamentos estimados	2013M08	""
02 Albacete	Número de apartamentos estimados	2013M07	""
02 Albacete	Número de apartamentos estimados	2013M06	""
02 Albacete	Número de apartamentos estimados	2013M05	""
02 Albacete	Número de apartamentos estimados	2013M04	""
02 Albacete	Número de apartamentos estimados	2013M03	""
02 Albacete	Número de apartamentos estimados	2013M02	""
02 Albacete	Número de apartamentos estimados	2013M01	""
02 Albacete	Número de apartamentos estimados	2012M12	""
02 Albacete	Número de apartamentos estimados	2012M11	""
02 Albacete	Número de apartamentos estimados	2012M10	""
02 Albacete	Número de apartamentos estimados	2012M09	""
02 Albacete	Número de apartamentos estimados	2012M08	""
02 Albacete	Número de apartamentos estimados	2012M07	""
02 Albacete	Número de apartamentos estimados	2012M06	""
02 Albacete	Número de apartamentos estimados	2012M05	""
02 Albacete	Número de apartamentos estimados	2012M04	""
02 Albacete	Número de apartamentos estimados	2012M03	""
02 Albacete	Número de apartamentos estimados	2012M02	""
02 Albacete	Número de apartamentos estimados	2012M01	""
02 Albacete	Número de apartamentos estimados	2011M12	""
02 Albacete	Número de apartamentos estimados	2011M11	""
02 Albacete	Número de apartamentos estimados	2011M10	""
02 Albacete	Número de apartamentos estimados	2011M09	""
02 Albacete	Número de apartamentos estimados	2011M08	""
02 Albacete	Número de apartamentos estimados	2011M07	""
02 Albacete	Número de apartamentos estimados	2011M06	""
02 Albacete	Número de apartamentos estimados	2011M05	""
02 Albacete	Número de apartamentos estimados	2011M04	""
02 Albacete	Número de apartamentos estimados	2011M03	""
02 Albacete	Número de apartamentos estimados	2011M02	""
02 Albacete	Número de apartamentos estimados	2011M01	""
02 Albacete	Número de apartamentos estimados	2010M12	""
02 Albacete	Número de apartamentos estimados	2010M11	""
02 Albacete	Número de apartamentos estimados	2010M10	""
02 Albacete	Número de apartamentos estimados	2010M09	""
02 Albacete	Número de apartamentos estimados	2010M08	""
02 Albacete	Número de apartamentos estimados	2010M07	""
02 Albacete	Número de apartamentos estimados	2010M06	""
02 Albacete	Número de apartamentos estimados	2010M05	""
02 Albacete	Número de apartamentos estimados	2010M04	""
02 Albacete	Número de apartamentos estimados	2010M03	""
02 Albacete	Número de apartamentos estimados	2010M02	""
02 Albacete	Número de apartamentos estimados	2010M01	""
02 Albacete	Número de apartamentos estimados	2009M12	""
02 Albacete	Número de apartamentos estimados	2009M11	""
02 Albacete	Número de apartamentos estimados	2009M10	""
02 Albacete	Número de apartamentos estimados	2009M09	""
02 Albacete	Número de apartamentos estimados	2009M08	""
02 Albacete	Número de apartamentos estimados	2009M07	""
02 Albacete	Número de apartamentos estimados	2009M06	""
02 Albacete	Número de apartamentos estimados	2009M05	""
02 Albacete	Número de apartamentos estimados	2009M04	""
02 Albacete	Número de apartamentos estimados	2009M03	""
02 Albacete	Número de apartamentos estimados	2009M02	""
02 Albacete	Número de apartamentos estimados	2009M01	""
