Provincias	Establecimientos y personal empleado (plazas)	Periodo	Total
02 Albacete	Número de plazas estimadas	2015M07	729
02 Albacete	Número de plazas estimadas	2015M06	699
02 Albacete	Número de plazas estimadas	2015M05	692
02 Albacete	Número de plazas estimadas	2015M04	605
02 Albacete	Número de plazas estimadas	2015M03	622
02 Albacete	Número de plazas estimadas	2015M02	610
02 Albacete	Número de plazas estimadas	2015M01	431
02 Albacete	Número de plazas estimadas	2014M12	631
02 Albacete	Número de plazas estimadas	2014M11	667
02 Albacete	Número de plazas estimadas	2014M10	652
02 Albacete	Número de plazas estimadas	2014M09	650
02 Albacete	Número de plazas estimadas	2014M08	652
02 Albacete	Número de plazas estimadas	2014M07	660
02 Albacete	Número de plazas estimadas	2014M06	680
02 Albacete	Número de plazas estimadas	2014M05	657
02 Albacete	Número de plazas estimadas	2014M04	655
02 Albacete	Número de plazas estimadas	2014M03	645
02 Albacete	Número de plazas estimadas	2014M02	469
02 Albacete	Número de plazas estimadas	2014M01	437
02 Albacete	Número de plazas estimadas	2013M12	""
02 Albacete	Número de plazas estimadas	2013M11	""
02 Albacete	Número de plazas estimadas	2013M10	""
02 Albacete	Número de plazas estimadas	2013M09	""
02 Albacete	Número de plazas estimadas	2013M08	""
02 Albacete	Número de plazas estimadas	2013M07	""
02 Albacete	Número de plazas estimadas	2013M06	""
02 Albacete	Número de plazas estimadas	2013M05	""
02 Albacete	Número de plazas estimadas	2013M04	""
02 Albacete	Número de plazas estimadas	2013M03	""
02 Albacete	Número de plazas estimadas	2013M02	""
02 Albacete	Número de plazas estimadas	2013M01	""
02 Albacete	Número de plazas estimadas	2012M12	""
02 Albacete	Número de plazas estimadas	2012M11	""
02 Albacete	Número de plazas estimadas	2012M10	""
02 Albacete	Número de plazas estimadas	2012M09	""
02 Albacete	Número de plazas estimadas	2012M08	""
02 Albacete	Número de plazas estimadas	2012M07	""
02 Albacete	Número de plazas estimadas	2012M06	""
02 Albacete	Número de plazas estimadas	2012M05	""
02 Albacete	Número de plazas estimadas	2012M04	""
02 Albacete	Número de plazas estimadas	2012M03	""
02 Albacete	Número de plazas estimadas	2012M02	""
02 Albacete	Número de plazas estimadas	2012M01	""
02 Albacete	Número de plazas estimadas	2011M12	""
02 Albacete	Número de plazas estimadas	2011M11	""
02 Albacete	Número de plazas estimadas	2011M10	""
02 Albacete	Número de plazas estimadas	2011M09	""
02 Albacete	Número de plazas estimadas	2011M08	""
02 Albacete	Número de plazas estimadas	2011M07	""
02 Albacete	Número de plazas estimadas	2011M06	""
02 Albacete	Número de plazas estimadas	2011M05	""
02 Albacete	Número de plazas estimadas	2011M04	""
02 Albacete	Número de plazas estimadas	2011M03	""
02 Albacete	Número de plazas estimadas	2011M02	""
02 Albacete	Número de plazas estimadas	2011M01	""
02 Albacete	Número de plazas estimadas	2010M12	""
02 Albacete	Número de plazas estimadas	2010M11	""
02 Albacete	Número de plazas estimadas	2010M10	""
02 Albacete	Número de plazas estimadas	2010M09	""
02 Albacete	Número de plazas estimadas	2010M08	""
02 Albacete	Número de plazas estimadas	2010M07	""
02 Albacete	Número de plazas estimadas	2010M06	""
02 Albacete	Número de plazas estimadas	2010M05	""
02 Albacete	Número de plazas estimadas	2010M04	""
02 Albacete	Número de plazas estimadas	2010M03	""
02 Albacete	Número de plazas estimadas	2010M02	""
02 Albacete	Número de plazas estimadas	2010M01	""
02 Albacete	Número de plazas estimadas	2009M12	""
02 Albacete	Número de plazas estimadas	2009M11	""
02 Albacete	Número de plazas estimadas	2009M10	""
02 Albacete	Número de plazas estimadas	2009M09	""
02 Albacete	Número de plazas estimadas	2009M08	""
02 Albacete	Número de plazas estimadas	2009M07	""
02 Albacete	Número de plazas estimadas	2009M06	""
02 Albacete	Número de plazas estimadas	2009M05	""
02 Albacete	Número de plazas estimadas	2009M04	""
02 Albacete	Número de plazas estimadas	2009M03	""
02 Albacete	Número de plazas estimadas	2009M02	""
02 Albacete	Número de plazas estimadas	2009M01	""
02 Albacete	Número de plazas estimadas	2008M12	""
02 Albacete	Número de plazas estimadas	2008M11	""
02 Albacete	Número de plazas estimadas	2008M10	""
02 Albacete	Número de plazas estimadas	2008M09	""
02 Albacete	Número de plazas estimadas	2008M08	""
02 Albacete	Número de plazas estimadas	2008M07	""
02 Albacete	Número de plazas estimadas	2008M06	""
02 Albacete	Número de plazas estimadas	2008M05	""
02 Albacete	Número de plazas estimadas	2008M04	""
02 Albacete	Número de plazas estimadas	2008M03	""
02 Albacete	Número de plazas estimadas	2008M02	""
02 Albacete	Número de plazas estimadas	2008M01	""
02 Albacete	Número de plazas estimadas	2007M12	""
02 Albacete	Número de plazas estimadas	2007M11	""
02 Albacete	Número de plazas estimadas	2007M10	""
02 Albacete	Número de plazas estimadas	2007M09	""
02 Albacete	Número de plazas estimadas	2007M08	""
02 Albacete	Número de plazas estimadas	2007M07	""
02 Albacete	Número de plazas estimadas	2007M06	""
02 Albacete	Número de plazas estimadas	2007M05	""
02 Albacete	Número de plazas estimadas	2007M04	""
02 Albacete	Número de plazas estimadas	2007M03	""
02 Albacete	Número de plazas estimadas	2007M02	""
02 Albacete	Número de plazas estimadas	2007M01	""
02 Albacete	Número de plazas estimadas	2006M12	""
02 Albacete	Número de plazas estimadas	2006M11	""
02 Albacete	Número de plazas estimadas	2006M10	""
02 Albacete	Número de plazas estimadas	2006M09	""
02 Albacete	Número de plazas estimadas	2006M08	""
02 Albacete	Número de plazas estimadas	2006M07	""
02 Albacete	Número de plazas estimadas	2006M06	""
02 Albacete	Número de plazas estimadas	2006M05	""
02 Albacete	Número de plazas estimadas	2006M04	""
02 Albacete	Número de plazas estimadas	2006M03	""
02 Albacete	Número de plazas estimadas	2006M02	""
02 Albacete	Número de plazas estimadas	2006M01	""
02 Albacete	Número de plazas estimadas	2005M12	""
02 Albacete	Número de plazas estimadas	2005M11	""
02 Albacete	Número de plazas estimadas	2005M10	""
