Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Total Nacional;02 Aragón;44 Teruel;2024M02;0,69
Total Nacional;02 Aragón;44 Teruel;2023M08;0,6
Total Nacional;02 Aragón;44 Teruel;2023M02;0,57
Total Nacional;02 Aragón;44 Teruel;2022M08;0,57
Total Nacional;02 Aragón;44 Teruel;2022M02;0,53
Total Nacional;02 Aragón;44 Teruel;2021M08;0,58
Total Nacional;02 Aragón;44 Teruel;2021M02;0,57
Total Nacional;02 Aragón;44 Teruel;2020M08;0,58
Total Nacional;02 Aragón;50 Zaragoza;2024M08;0,26
Total Nacional;02 Aragón;50 Zaragoza;2024M02;0,24
Total Nacional;02 Aragón;50 Zaragoza;2023M08;0,19
Total Nacional;02 Aragón;50 Zaragoza;2023M02;0,2
Total Nacional;02 Aragón;50 Zaragoza;2022M08;0,18
Total Nacional;02 Aragón;50 Zaragoza;2022M02;0,17
Total Nacional;02 Aragón;50 Zaragoza;2021M08;0,18
Total Nacional;02 Aragón;50 Zaragoza;2021M02;0,18
Total Nacional;02 Aragón;50 Zaragoza;2020M08;0,19
Total Nacional;03 Asturias, Principado de;;2024M08;1,3
Total Nacional;03 Asturias, Principado de;;2024M02;1,07
Total Nacional;03 Asturias, Principado de;;2023M08;1,04
Total Nacional;03 Asturias, Principado de;;2023M02;0,95
Total Nacional;03 Asturias, Principado de;;2022M08;1
Total Nacional;03 Asturias, Principado de;;2022M02;0,77
Total Nacional;03 Asturias, Principado de;;2021M08;0,84
Total Nacional;03 Asturias, Principado de;;2021M02;0,71
Total Nacional;03 Asturias, Principado de;;2020M08;0,8
Total Nacional;03 Asturias, Principado de;33 Asturias;2024M08;1,3
Total Nacional;03 Asturias, Principado de;33 Asturias;2024M02;1,07
Total Nacional;03 Asturias, Principado de;33 Asturias;2023M08;1,04
Total Nacional;03 Asturias, Principado de;33 Asturias;2023M02;0,95
Total Nacional;03 Asturias, Principado de;33 Asturias;2022M08;1
Total Nacional;03 Asturias, Principado de;33 Asturias;2022M02;0,77
Total Nacional;03 Asturias, Principado de;33 Asturias;2021M08;0,84
Total Nacional;03 Asturias, Principado de;33 Asturias;2021M02;0,71
Total Nacional;03 Asturias, Principado de;33 Asturias;2020M08;0,8
Total Nacional;04 Balears, Illes;;2024M08;4,14
Total Nacional;04 Balears, Illes;;2024M02;3,84
Total Nacional;04 Balears, Illes;;2023M08;4,06
Total Nacional;04 Balears, Illes;;2023M02;4,33
Total Nacional;04 Balears, Illes;;2022M08;4,61
Total Nacional;04 Balears, Illes;;2022M02;4,51
Total Nacional;04 Balears, Illes;;2021M08;4,98
Total Nacional;04 Balears, Illes;;2021M02;4,72
Total Nacional;04 Balears, Illes;;2020M08;4,98
Total Nacional;04 Balears, Illes;07 Balears, Illes;2024M08;4,14
Total Nacional;04 Balears, Illes;07 Balears, Illes;2024M02;3,84
Total Nacional;04 Balears, Illes;07 Balears, Illes;2023M08;4,06
Total Nacional;04 Balears, Illes;07 Balears, Illes;2023M02;4,33
Total Nacional;04 Balears, Illes;07 Balears, Illes;2022M08;4,61
Total Nacional;04 Balears, Illes;07 Balears, Illes;2022M02;4,51
Total Nacional;04 Balears, Illes;07 Balears, Illes;2021M08;4,98
Total Nacional;04 Balears, Illes;07 Balears, Illes;2021M02;4,72
Total Nacional;04 Balears, Illes;07 Balears, Illes;2020M08;4,98
Total Nacional;05 Canarias;;2024M08;4,7
Total Nacional;05 Canarias;;2024M02;4,3
