Total Nacional;Distritos;Tipo de dato;Periodo;Total
Total Nacional;1101201 Cádiz distrito 01;Variación anual;2016;3,5
Total Nacional;1101201 Cádiz distrito 01;Variación anual;2015;-3,3
Total Nacional;1101201 Cádiz distrito 01;Variación anual;2014;2,4
Total Nacional;1101201 Cádiz distrito 01;Variación anual;2013;-1,8
Total Nacional;1101201 Cádiz distrito 01;Variación anual;2012;0
Total Nacional;1101201 Cádiz distrito 01;Variación anual;2011;..
Total Nacional;1101202 Cádiz distrito 02;Índice;2022;110,457
Total Nacional;1101202 Cádiz distrito 02;Índice;2021;106,674
Total Nacional;1101202 Cádiz distrito 02;Índice;2020;104,111
Total Nacional;1101202 Cádiz distrito 02;Índice;2019;104,374
Total Nacional;1101202 Cádiz distrito 02;Índice;2018;102,192
Total Nacional;1101202 Cádiz distrito 02;Índice;2017;100,402
Total Nacional;1101202 Cádiz distrito 02;Índice;2016;100,019
Total Nacional;1101202 Cádiz distrito 02;Índice;2015;100
Total Nacional;1101202 Cádiz distrito 02;Índice;2014;98,539
Total Nacional;1101202 Cádiz distrito 02;Índice;2013;96,815
Total Nacional;1101202 Cádiz distrito 02;Índice;2012;96,502
Total Nacional;1101202 Cádiz distrito 02;Índice;2011;96,498
Total Nacional;1101202 Cádiz distrito 02;Variación anual;2022;3,5
Total Nacional;1101202 Cádiz distrito 02;Variación anual;2021;2,5
Total Nacional;1101202 Cádiz distrito 02;Variación anual;2020;-0,3
Total Nacional;1101202 Cádiz distrito 02;Variación anual;2019;2,1
Total Nacional;1101202 Cádiz distrito 02;Variación anual;2018;1,8
Total Nacional;1101202 Cádiz distrito 02;Variación anual;2017;0,4
Total Nacional;1101202 Cádiz distrito 02;Variación anual;2016;0
Total Nacional;1101202 Cádiz distrito 02;Variación anual;2015;1,5
Total Nacional;1101202 Cádiz distrito 02;Variación anual;2014;1,8
Total Nacional;1101202 Cádiz distrito 02;Variación anual;2013;0,3
Total Nacional;1101202 Cádiz distrito 02;Variación anual;2012;0
Total Nacional;1101202 Cádiz distrito 02;Variación anual;2011;..
Total Nacional;1101203 Cádiz distrito 03;Índice;2022;112,44
Total Nacional;1101203 Cádiz distrito 03;Índice;2021;110,541
Total Nacional;1101203 Cádiz distrito 03;Índice;2020;107,927
Total Nacional;1101203 Cádiz distrito 03;Índice;2019;107,709
Total Nacional;1101203 Cádiz distrito 03;Índice;2018;105,745
Total Nacional;1101203 Cádiz distrito 03;Índice;2017;104,385
Total Nacional;1101203 Cádiz distrito 03;Índice;2016;103,512
Total Nacional;1101203 Cádiz distrito 03;Índice;2015;100
Total Nacional;1101203 Cádiz distrito 03;Índice;2014;101,538
Total Nacional;1101203 Cádiz distrito 03;Índice;2013;100,09
Total Nacional;1101203 Cádiz distrito 03;Índice;2012;102,028
Total Nacional;1101203 Cádiz distrito 03;Índice;2011;102,005
Total Nacional;1101203 Cádiz distrito 03;Variación anual;2022;1,7
Total Nacional;1101203 Cádiz distrito 03;Variación anual;2021;2,4
Total Nacional;1101203 Cádiz distrito 03;Variación anual;2020;0,2
Total Nacional;1101203 Cádiz distrito 03;Variación anual;2019;1,9
Total Nacional;1101203 Cádiz distrito 03;Variación anual;2018;1,3
Total Nacional;1101203 Cádiz distrito 03;Variación anual;2017;0,8
Total Nacional;1101203 Cádiz distrito 03;Variación anual;2016;3,5
Total Nacional;1101203 Cádiz distrito 03;Variación anual;2015;-1,5
Total Nacional;1101203 Cádiz distrito 03;Variación anual;2014;1,4
Total Nacional;1101203 Cádiz distrito 03;Variación anual;2013;-1,9
Total Nacional;1101203 Cádiz distrito 03;Variación anual;2012;0
Total Nacional;1101203 Cádiz distrito 03;Variación anual;2011;..
Total Nacional;1101204 Cádiz distrito 04;Índice;2022;99,579
Total Nacional;1101204 Cádiz distrito 04;Índice;2021;97,974
Total Nacional;1101204 Cádiz distrito 04;Índice;2020;..
Total Nacional;1101204 Cádiz distrito 04;Índice;2019;..
Total Nacional;1101204 Cádiz distrito 04;Índice;2018;..
Total Nacional;1101204 Cádiz distrito 04;Índice;2017;..
Total Nacional;1101204 Cádiz distrito 04;Índice;2016;..
Total Nacional;1101204 Cádiz distrito 04;Índice;2015;..
Total Nacional;1101204 Cádiz distrito 04;Índice;2014;..
Total Nacional;1101204 Cádiz distrito 04;Índice;2013;..
Total Nacional;1101204 Cádiz distrito 04;Índice;2012;..
Total Nacional;1101204 Cádiz distrito 04;Índice;2011;..
Total Nacional;1101204 Cádiz distrito 04;Variación anual;2022;1,6
Total Nacional;1101204 Cádiz distrito 04;Variación anual;2021;-0,7
Total Nacional;1101204 Cádiz distrito 04;Variación anual;2020;..
Total Nacional;1101204 Cádiz distrito 04;Variación anual;2019;..
Total Nacional;1101204 Cádiz distrito 04;Variación anual;2018;..
Total Nacional;1101204 Cádiz distrito 04;Variación anual;2017;..
Total Nacional;1101204 Cádiz distrito 04;Variación anual;2016;..
Total Nacional;1101204 Cádiz distrito 04;Variación anual;2015;..
Total Nacional;1101204 Cádiz distrito 04;Variación anual;2014;..
Total Nacional;1101204 Cádiz distrito 04;Variación anual;2013;..
Total Nacional;1101204 Cádiz distrito 04;Variación anual;2012;..
Total Nacional;1101204 Cádiz distrito 04;Variación anual;2011;..
Total Nacional;1101205 Cádiz distrito 05;Índice;2022;110,189
Total Nacional;1101205 Cádiz distrito 05;Índice;2021;108,429
Total Nacional;1101205 Cádiz distrito 05;Índice;2020;105,99
Total Nacional;1101205 Cádiz distrito 05;Índice;2019;104,466
Total Nacional;1101205 Cádiz distrito 05;Índice;2018;102,257
Total Nacional;1101205 Cádiz distrito 05;Índice;2017;99,845
Total Nacional;1101205 Cádiz distrito 05;Índice;2016;104,653
Total Nacional;1101205 Cádiz distrito 05;Índice;2015;100
Total Nacional;1101205 Cádiz distrito 05;Índice;2014;99,324
Total Nacional;1101205 Cádiz distrito 05;Índice;2013;..
Total Nacional;1101205 Cádiz distrito 05;Índice;2012;..
Total Nacional;1101205 Cádiz distrito 05;Índice;2011;102,828
Total Nacional;1101205 Cádiz distrito 05;Variación anual;2022;1,6
Total Nacional;1101205 Cádiz distrito 05;Variación anual;2021;2,3
Total Nacional;1101205 Cádiz distrito 05;Variación anual;2020;1,5
Total Nacional;1101205 Cádiz distrito 05;Variación anual;2019;2,2
Total Nacional;1101205 Cádiz distrito 05;Variación anual;2018;2,4
Total Nacional;1101205 Cádiz distrito 05;Variación anual;2017;-4,6
Total Nacional;1101205 Cádiz distrito 05;Variación anual;2016;4,7
Total Nacional;1101205 Cádiz distrito 05;Variación anual;2015;0,7
Total Nacional;1101205 Cádiz distrito 05;Variación anual;2014;-2,2
Total Nacional;1101205 Cádiz distrito 05;Variación anual;2013;..
Total Nacional;1101205 Cádiz distrito 05;Variación anual;2012;..
Total Nacional;1101205 Cádiz distrito 05;Variación anual;2011;..
Total Nacional;1101206 Cádiz distrito 06;Índice;2022;113,623
Total Nacional;1101206 Cádiz distrito 06;Índice;2021;110,624
Total Nacional;1101206 Cádiz distrito 06;Índice;2020;108,556
Total Nacional;1101206 Cádiz distrito 06;Índice;2019;108,944
Total Nacional;1101206 Cádiz distrito 06;Índice;2018;105,002
Total Nacional;1101206 Cádiz distrito 06;Índice;2017;104,189
Total Nacional;1101206 Cádiz distrito 06;Índice;2016;100,754
Total Nacional;1101206 Cádiz distrito 06;Índice;2015;..
Total Nacional;1101206 Cádiz distrito 06;Índice;2014;..
Total Nacional;1101206 Cádiz distrito 06;Índice;2013;..
Total Nacional;1101206 Cádiz distrito 06;Índice;2012;..
Total Nacional;1101206 Cádiz distrito 06;Índice;2011;..
Total Nacional;1101206 Cádiz distrito 06;Variación anual;2022;2,7
Total Nacional;1101206 Cádiz distrito 06;Variación anual;2021;1,9
Total Nacional;1101206 Cádiz distrito 06;Variación anual;2020;-0,4
Total Nacional;1101206 Cádiz distrito 06;Variación anual;2019;3,8
Total Nacional;1101206 Cádiz distrito 06;Variación anual;2018;0,8
Total Nacional;1101206 Cádiz distrito 06;Variación anual;2017;3,4
Total Nacional;1101206 Cádiz distrito 06;Variación anual;2016;0,8
Total Nacional;1101206 Cádiz distrito 06;Variación anual;2015;..
Total Nacional;1101206 Cádiz distrito 06;Variación anual;2014;..
Total Nacional;1101206 Cádiz distrito 06;Variación anual;2013;..
Total Nacional;1101206 Cádiz distrito 06;Variación anual;2012;..
Total Nacional;1101206 Cádiz distrito 06;Variación anual;2011;..
Total Nacional;1101207 Cádiz distrito 07;Índice;2022;118,018
Total Nacional;1101207 Cádiz distrito 07;Índice;2021;113,654
Total Nacional;1101207 Cádiz distrito 07;Índice;2020;..
Total Nacional;1101207 Cádiz distrito 07;Índice;2019;..
Total Nacional;1101207 Cádiz distrito 07;Índice;2018;..
Total Nacional;1101207 Cádiz distrito 07;Índice;2017;..
Total Nacional;1101207 Cádiz distrito 07;Índice;2016;..
Total Nacional;1101207 Cádiz distrito 07;Índice;2015;..
Total Nacional;1101207 Cádiz distrito 07;Índice;2014;..
Total Nacional;1101207 Cádiz distrito 07;Índice;2013;..
Total Nacional;1101207 Cádiz distrito 07;Índice;2012;..
Total Nacional;1101207 Cádiz distrito 07;Índice;2011;..
Total Nacional;1101207 Cádiz distrito 07;Variación anual;2022;3,8
Total Nacional;1101207 Cádiz distrito 07;Variación anual;2021;-0,1
Total Nacional;1101207 Cádiz distrito 07;Variación anual;2020;..
Total Nacional;1101207 Cádiz distrito 07;Variación anual;2019;..
Total Nacional;1101207 Cádiz distrito 07;Variación anual;2018;..
Total Nacional;1101207 Cádiz distrito 07;Variación anual;2017;..
Total Nacional;1101207 Cádiz distrito 07;Variación anual;2016;..
Total Nacional;1101207 Cádiz distrito 07;Variación anual;2015;..
Total Nacional;1101207 Cádiz distrito 07;Variación anual;2014;..
Total Nacional;1101207 Cádiz distrito 07;Variación anual;2013;..
Total Nacional;1101207 Cádiz distrito 07;Variación anual;2012;..
Total Nacional;1101207 Cádiz distrito 07;Variación anual;2011;..
Total Nacional;1101208 Cádiz distrito 08;Índice;2022;107,66
Total Nacional;1101208 Cádiz distrito 08;Índice;2021;105,267
Total Nacional;1101208 Cádiz distrito 08;Índice;2020;103,384
Total Nacional;1101208 Cádiz distrito 08;Índice;2019;102,921
Total Nacional;1101208 Cádiz distrito 08;Índice;2018;102,189
Total Nacional;1101208 Cádiz distrito 08;Índice;2017;101,831
Total Nacional;1101208 Cádiz distrito 08;Índice;2016;100,986
Total Nacional;1101208 Cádiz distrito 08;Índice;2015;100
Total Nacional;1101208 Cádiz distrito 08;Índice;2014;100,647
Total Nacional;1101208 Cádiz distrito 08;Índice;2013;99,571
Total Nacional;1101208 Cádiz distrito 08;Índice;2012;101,506
Total Nacional;1101208 Cádiz distrito 08;Índice;2011;100,282
Total Nacional;1101208 Cádiz distrito 08;Variación anual;2022;2,3
Total Nacional;1101208 Cádiz distrito 08;Variación anual;2021;1,8
Total Nacional;1101208 Cádiz distrito 08;Variación anual;2020;0,5
Total Nacional;1101208 Cádiz distrito 08;Variación anual;2019;0,7
Total Nacional;1101208 Cádiz distrito 08;Variación anual;2018;0,4
Total Nacional;1101208 Cádiz distrito 08;Variación anual;2017;0,8
Total Nacional;1101208 Cádiz distrito 08;Variación anual;2016;1
Total Nacional;1101208 Cádiz distrito 08;Variación anual;2015;-0,6
Total Nacional;1101208 Cádiz distrito 08;Variación anual;2014;1,1
Total Nacional;1101208 Cádiz distrito 08;Variación anual;2013;-1,9
Total Nacional;1101208 Cádiz distrito 08;Variación anual;2012;1,2
Total Nacional;1101208 Cádiz distrito 08;Variación anual;2011;..
Total Nacional;1101209 Cádiz distrito 09;Índice;2022;109,768
Total Nacional;1101209 Cádiz distrito 09;Índice;2021;108,288
Total Nacional;1101209 Cádiz distrito 09;Índice;2020;106,186
Total Nacional;1101209 Cádiz distrito 09;Índice;2019;105,579
Total Nacional;1101209 Cádiz distrito 09;Índice;2018;103,332
Total Nacional;1101209 Cádiz distrito 09;Índice;2017;103,212
Total Nacional;1101209 Cádiz distrito 09;Índice;2016;101,24
Total Nacional;1101209 Cádiz distrito 09;Índice;2015;100
Total Nacional;1101209 Cádiz distrito 09;Índice;2014;99,502
Total Nacional;1101209 Cádiz distrito 09;Índice;2013;100,57
Total Nacional;1101209 Cádiz distrito 09;Índice;2012;99,645
Total Nacional;1101209 Cádiz distrito 09;Índice;2011;99,166
Total Nacional;1101209 Cádiz distrito 09;Variación anual;2022;1,4
Total Nacional;1101209 Cádiz distrito 09;Variación anual;2021;2
Total Nacional;1101209 Cádiz distrito 09;Variación anual;2020;0,6
Total Nacional;1101209 Cádiz distrito 09;Variación anual;2019;2,2
Total Nacional;1101209 Cádiz distrito 09;Variación anual;2018;0,1
Total Nacional;1101209 Cádiz distrito 09;Variación anual;2017;1,9
Total Nacional;1101209 Cádiz distrito 09;Variación anual;2016;1,2
Total Nacional;1101209 Cádiz distrito 09;Variación anual;2015;0,5
Total Nacional;1101209 Cádiz distrito 09;Variación anual;2014;-1,1
Total Nacional;1101209 Cádiz distrito 09;Variación anual;2013;0,9
Total Nacional;1101209 Cádiz distrito 09;Variación anual;2012;0,5
Total Nacional;1101209 Cádiz distrito 09;Variación anual;2011;..
Total Nacional;1101210 Cádiz distrito 10;Índice;2022;111,278
Total Nacional;1101210 Cádiz distrito 10;Índice;2021;108,698
Total Nacional;1101210 Cádiz distrito 10;Índice;2020;107,115
Total Nacional;1101210 Cádiz distrito 10;Índice;2019;106,584
Total Nacional;1101210 Cádiz distrito 10;Índice;2018;104,152
Total Nacional;1101210 Cádiz distrito 10;Índice;2017;103,255
Total Nacional;1101210 Cádiz distrito 10;Índice;2016;101,577
Total Nacional;1101210 Cádiz distrito 10;Índice;2015;100
Total Nacional;1101210 Cádiz distrito 10;Índice;2014;99,672
Total Nacional;1101210 Cádiz distrito 10;Índice;2013;99,39
Total Nacional;1101210 Cádiz distrito 10;Índice;2012;100,36
Total Nacional;1101210 Cádiz distrito 10;Índice;2011;100,171
Total Nacional;1101210 Cádiz distrito 10;Variación anual;2022;2,4
Total Nacional;1101210 Cádiz distrito 10;Variación anual;2021;1,5
Total Nacional;1101210 Cádiz distrito 10;Variación anual;2020;0,5
Total Nacional;1101210 Cádiz distrito 10;Variación anual;2019;2,3
Total Nacional;1101210 Cádiz distrito 10;Variación anual;2018;0,9
Total Nacional;1101210 Cádiz distrito 10;Variación anual;2017;1,7
Total Nacional;1101210 Cádiz distrito 10;Variación anual;2016;1,6
Total Nacional;1101210 Cádiz distrito 10;Variación anual;2015;0,3
Total Nacional;1101210 Cádiz distrito 10;Variación anual;2014;0,3
Total Nacional;1101210 Cádiz distrito 10;Variación anual;2013;-1
Total Nacional;1101210 Cádiz distrito 10;Variación anual;2012;0,2
Total Nacional;1101210 Cádiz distrito 10;Variación anual;2011;..
Total Nacional;1204001 Castelló de la Plana distrito 01;Índice;2022;116,498
Total Nacional;1204001 Castelló de la Plana distrito 01;Índice;2021;112,905
Total Nacional;1204001 Castelló de la Plana distrito 01;Índice;2020;108,99
Total Nacional;1204001 Castelló de la Plana distrito 01;Índice;2019;108,532
Total Nacional;1204001 Castelló de la Plana distrito 01;Índice;2018;104,163
Total Nacional;1204001 Castelló de la Plana distrito 01;Índice;2017;102,294
Total Nacional;1204001 Castelló de la Plana distrito 01;Índice;2016;101,379
Total Nacional;1204001 Castelló de la Plana distrito 01;Índice;2015;100
Total Nacional;1204001 Castelló de la Plana distrito 01;Índice;2014;100,818
Total Nacional;1204001 Castelló de la Plana distrito 01;Índice;2013;102,374
Total Nacional;1204001 Castelló de la Plana distrito 01;Índice;2012;104,814
Total Nacional;1204001 Castelló de la Plana distrito 01;Índice;2011;110,896
Total Nacional;1204001 Castelló de la Plana distrito 01;Variación anual;2022;3,2
Total Nacional;1204001 Castelló de la Plana distrito 01;Variación anual;2021;3,6
Total Nacional;1204001 Castelló de la Plana distrito 01;Variación anual;2020;0,4
Total Nacional;1204001 Castelló de la Plana distrito 01;Variación anual;2019;4,2
Total Nacional;1204001 Castelló de la Plana distrito 01;Variación anual;2018;1,8
Total Nacional;1204001 Castelló de la Plana distrito 01;Variación anual;2017;0,9
Total Nacional;1204001 Castelló de la Plana distrito 01;Variación anual;2016;1,4
Total Nacional;1204001 Castelló de la Plana distrito 01;Variación anual;2015;-0,8
Total Nacional;1204001 Castelló de la Plana distrito 01;Variación anual;2014;-1,5
Total Nacional;1204001 Castelló de la Plana distrito 01;Variación anual;2013;-2,3
Total Nacional;1204001 Castelló de la Plana distrito 01;Variación anual;2012;-5,5
Total Nacional;1204001 Castelló de la Plana distrito 01;Variación anual;2011;..
Total Nacional;1204002 Castelló de la Plana distrito 02;Índice;2022;120,593
Total Nacional;1204002 Castelló de la Plana distrito 02;Índice;2021;116,872
Total Nacional;1204002 Castelló de la Plana distrito 02;Índice;2020;113,882
Total Nacional;1204002 Castelló de la Plana distrito 02;Índice;2019;112,642
Total Nacional;1204002 Castelló de la Plana distrito 02;Índice;2018;106,048
Total Nacional;1204002 Castelló de la Plana distrito 02;Índice;2017;103,488
Total Nacional;1204002 Castelló de la Plana distrito 02;Índice;2016;102,097
Total Nacional;1204002 Castelló de la Plana distrito 02;Índice;2015;100
Total Nacional;1204002 Castelló de la Plana distrito 02;Índice;2014;99,975
Total Nacional;1204002 Castelló de la Plana distrito 02;Índice;2013;104,106
Total Nacional;1204002 Castelló de la Plana distrito 02;Índice;2012;108,185
Total Nacional;1204002 Castelló de la Plana distrito 02;Índice;2011;111,911
Total Nacional;1204002 Castelló de la Plana distrito 02;Variación anual;2022;3,2
Total Nacional;1204002 Castelló de la Plana distrito 02;Variación anual;2021;2,6
Total Nacional;1204002 Castelló de la Plana distrito 02;Variación anual;2020;1,1
Total Nacional;1204002 Castelló de la Plana distrito 02;Variación anual;2019;6,2
Total Nacional;1204002 Castelló de la Plana distrito 02;Variación anual;2018;2,5
Total Nacional;1204002 Castelló de la Plana distrito 02;Variación anual;2017;1,4
Total Nacional;1204002 Castelló de la Plana distrito 02;Variación anual;2016;2,1
Total Nacional;1204002 Castelló de la Plana distrito 02;Variación anual;2015;0
Total Nacional;1204002 Castelló de la Plana distrito 02;Variación anual;2014;-4
Total Nacional;1204002 Castelló de la Plana distrito 02;Variación anual;2013;-3,8
Total Nacional;1204002 Castelló de la Plana distrito 02;Variación anual;2012;-3,3
Total Nacional;1204002 Castelló de la Plana distrito 02;Variación anual;2011;..
Total Nacional;1204003 Castelló de la Plana distrito 03;Índice;2022;115,84
Total Nacional;1204003 Castelló de la Plana distrito 03;Índice;2021;113,179
Total Nacional;1204003 Castelló de la Plana distrito 03;Índice;2020;110,861
Total Nacional;1204003 Castelló de la Plana distrito 03;Índice;2019;109,32
Total Nacional;1204003 Castelló de la Plana distrito 03;Índice;2018;106,17
Total Nacional;1204003 Castelló de la Plana distrito 03;Índice;2017;101,985
Total Nacional;1204003 Castelló de la Plana distrito 03;Índice;2016;101,445
Total Nacional;1204003 Castelló de la Plana distrito 03;Índice;2015;100
Total Nacional;1204003 Castelló de la Plana distrito 03;Índice;2014;100,703
Total Nacional;1204003 Castelló de la Plana distrito 03;Índice;2013;101,242
Total Nacional;1204003 Castelló de la Plana distrito 03;Índice;2012;106,121
Total Nacional;1204003 Castelló de la Plana distrito 03;Índice;2011;107,254
Total Nacional;1204003 Castelló de la Plana distrito 03;Variación anual;2022;2,4
Total Nacional;1204003 Castelló de la Plana distrito 03;Variación anual;2021;2,1
Total Nacional;1204003 Castelló de la Plana distrito 03;Variación anual;2020;1,4
Total Nacional;1204003 Castelló de la Plana distrito 03;Variación anual;2019;3
Total Nacional;1204003 Castelló de la Plana distrito 03;Variación anual;2018;4,1
Total Nacional;1204003 Castelló de la Plana distrito 03;Variación anual;2017;0,5
Total Nacional;1204003 Castelló de la Plana distrito 03;Variación anual;2016;1,4
Total Nacional;1204003 Castelló de la Plana distrito 03;Variación anual;2015;-0,7
Total Nacional;1204003 Castelló de la Plana distrito 03;Variación anual;2014;-0,5
Total Nacional;1204003 Castelló de la Plana distrito 03;Variación anual;2013;-4,6
Total Nacional;1204003 Castelló de la Plana distrito 03;Variación anual;2012;-1,1
Total Nacional;1204003 Castelló de la Plana distrito 03;Variación anual;2011;..
Total Nacional;1204004 Castelló de la Plana distrito 04;Índice;2022;117,396
Total Nacional;1204004 Castelló de la Plana distrito 04;Índice;2021;114,088
Total Nacional;1204004 Castelló de la Plana distrito 04;Índice;2020;110,796
Total Nacional;1204004 Castelló de la Plana distrito 04;Índice;2019;108,375
Total Nacional;1204004 Castelló de la Plana distrito 04;Índice;2018;104,921
Total Nacional;1204004 Castelló de la Plana distrito 04;Índice;2017;101,771
Total Nacional;1204004 Castelló de la Plana distrito 04;Índice;2016;101,023
Total Nacional;1204004 Castelló de la Plana distrito 04;Índice;2015;100
Total Nacional;1204004 Castelló de la Plana distrito 04;Índice;2014;100,206
Total Nacional;1204004 Castelló de la Plana distrito 04;Índice;2013;101,937
Total Nacional;1204004 Castelló de la Plana distrito 04;Índice;2012;105,562
Total Nacional;1204004 Castelló de la Plana distrito 04;Índice;2011;109,926
Total Nacional;1204004 Castelló de la Plana distrito 04;Variación anual;2022;2,9
Total Nacional;1204004 Castelló de la Plana distrito 04;Variación anual;2021;3
Total Nacional;1204004 Castelló de la Plana distrito 04;Variación anual;2020;2,2
Total Nacional;1204004 Castelló de la Plana distrito 04;Variación anual;2019;3,3
Total Nacional;1204004 Castelló de la Plana distrito 04;Variación anual;2018;3,1
Total Nacional;1204004 Castelló de la Plana distrito 04;Variación anual;2017;0,7
Total Nacional;1204004 Castelló de la Plana distrito 04;Variación anual;2016;1
Total Nacional;1204004 Castelló de la Plana distrito 04;Variación anual;2015;-0,2
Total Nacional;1204004 Castelló de la Plana distrito 04;Variación anual;2014;-1,7
Total Nacional;1204004 Castelló de la Plana distrito 04;Variación anual;2013;-3,4
Total Nacional;1204004 Castelló de la Plana distrito 04;Variación anual;2012;-4
Total Nacional;1204004 Castelló de la Plana distrito 04;Variación anual;2011;..
Total Nacional;1204005 Castelló de la Plana distrito 06;Índice;2022;118,313
Total Nacional;1204005 Castelló de la Plana distrito 06;Índice;2021;114,671
Total Nacional;1204005 Castelló de la Plana distrito 06;Índice;2020;110,973
Total Nacional;1204005 Castelló de la Plana distrito 06;Índice;2019;109,054
Total Nacional;1204005 Castelló de la Plana distrito 06;Índice;2018;105,927
Total Nacional;1204005 Castelló de la Plana distrito 06;Índice;2017;102,71
Total Nacional;1204005 Castelló de la Plana distrito 06;Índice;2016;100,998
Total Nacional;1204005 Castelló de la Plana distrito 06;Índice;2015;100
Total Nacional;1204005 Castelló de la Plana distrito 06;Índice;2014;101,668
Total Nacional;1204005 Castelló de la Plana distrito 06;Índice;2013;103,953
Total Nacional;1204005 Castelló de la Plana distrito 06;Índice;2012;107,412
Total Nacional;1204005 Castelló de la Plana distrito 06;Índice;2011;111,139
Total Nacional;1204005 Castelló de la Plana distrito 06;Variación anual;2022;3,2
Total Nacional;1204005 Castelló de la Plana distrito 06;Variación anual;2021;3,3
Total Nacional;1204005 Castelló de la Plana distrito 06;Variación anual;2020;1,8
Total Nacional;1204005 Castelló de la Plana distrito 06;Variación anual;2019;3
Total Nacional;1204005 Castelló de la Plana distrito 06;Variación anual;2018;3,1
Total Nacional;1204005 Castelló de la Plana distrito 06;Variación anual;2017;1,7
Total Nacional;1204005 Castelló de la Plana distrito 06;Variación anual;2016;1
Total Nacional;1204005 Castelló de la Plana distrito 06;Variación anual;2015;-1,6
Total Nacional;1204005 Castelló de la Plana distrito 06;Variación anual;2014;-2,2
Total Nacional;1204005 Castelló de la Plana distrito 06;Variación anual;2013;-3,2
Total Nacional;1204005 Castelló de la Plana distrito 06;Variación anual;2012;-3,4
Total Nacional;1204005 Castelló de la Plana distrito 06;Variación anual;2011;..
Total Nacional;1204006 Castelló de la Plana distrito 06;Índice;2022;117,844
Total Nacional;1204006 Castelló de la Plana distrito 06;Índice;2021;114,117
Total Nacional;1204006 Castelló de la Plana distrito 06;Índice;2020;111,211
Total Nacional;1204006 Castelló de la Plana distrito 06;Índice;2019;108,695
Total Nacional;1204006 Castelló de la Plana distrito 06;Índice;2018;105,037
Total Nacional;1204006 Castelló de la Plana distrito 06;Índice;2017;102,855
Total Nacional;1204006 Castelló de la Plana distrito 06;Índice;2016;101,414
Total Nacional;1204006 Castelló de la Plana distrito 06;Índice;2015;100
Total Nacional;1204006 Castelló de la Plana distrito 06;Índice;2014;99,467
Total Nacional;1204006 Castelló de la Plana distrito 06;Índice;2013;103,1
Total Nacional;1204006 Castelló de la Plana distrito 06;Índice;2012;108,102
Total Nacional;1204006 Castelló de la Plana distrito 06;Índice;2011;113,012
Total Nacional;1204006 Castelló de la Plana distrito 06;Variación anual;2022;3,3
Total Nacional;1204006 Castelló de la Plana distrito 06;Variación anual;2021;2,6
Total Nacional;1204006 Castelló de la Plana distrito 06;Variación anual;2020;2,3
Total Nacional;1204006 Castelló de la Plana distrito 06;Variación anual;2019;3,5
Total Nacional;1204006 Castelló de la Plana distrito 06;Variación anual;2018;2,1
Total Nacional;1204006 Castelló de la Plana distrito 06;Variación anual;2017;1,4
Total Nacional;1204006 Castelló de la Plana distrito 06;Variación anual;2016;1,4
Total Nacional;1204006 Castelló de la Plana distrito 06;Variación anual;2015;0,5
Total Nacional;1204006 Castelló de la Plana distrito 06;Variación anual;2014;-3,5
Total Nacional;1204006 Castelló de la Plana distrito 06;Variación anual;2013;-4,6
Total Nacional;1204006 Castelló de la Plana distrito 06;Variación anual;2012;-4,3
Total Nacional;1204006 Castelló de la Plana distrito 06;Variación anual;2011;..
Total Nacional;1204007 Castelló de la Plana distrito 07;Índice;2022;116,465
Total Nacional;1204007 Castelló de la Plana distrito 07;Índice;2021;112,385
Total Nacional;1204007 Castelló de la Plana distrito 07;Índice;2020;109,258
Total Nacional;1204007 Castelló de la Plana distrito 07;Índice;2019;108,066
Total Nacional;1204007 Castelló de la Plana distrito 07;Índice;2018;104,673
Total Nacional;1204007 Castelló de la Plana distrito 07;Índice;2017;102,559
Total Nacional;1204007 Castelló de la Plana distrito 07;Índice;2016;101,333
Total Nacional;1204007 Castelló de la Plana distrito 07;Índice;2015;100
Total Nacional;1204007 Castelló de la Plana distrito 07;Índice;2014;101,125
Total Nacional;1204007 Castelló de la Plana distrito 07;Índice;2013;103,613
Total Nacional;1204007 Castelló de la Plana distrito 07;Índice;2012;108,125
Total Nacional;1204007 Castelló de la Plana distrito 07;Índice;2011;111,908
Total Nacional;1204007 Castelló de la Plana distrito 07;Variación anual;2022;3,6
Total Nacional;1204007 Castelló de la Plana distrito 07;Variación anual;2021;2,9
Total Nacional;1204007 Castelló de la Plana distrito 07;Variación anual;2020;1,1
Total Nacional;1204007 Castelló de la Plana distrito 07;Variación anual;2019;3,2
Total Nacional;1204007 Castelló de la Plana distrito 07;Variación anual;2018;2,1
Total Nacional;1204007 Castelló de la Plana distrito 07;Variación anual;2017;1,2
Total Nacional;1204007 Castelló de la Plana distrito 07;Variación anual;2016;1,3
Total Nacional;1204007 Castelló de la Plana distrito 07;Variación anual;2015;-1,1
Total Nacional;1204007 Castelló de la Plana distrito 07;Variación anual;2014;-2,4
Total Nacional;1204007 Castelló de la Plana distrito 07;Variación anual;2013;-4,2
Total Nacional;1204007 Castelló de la Plana distrito 07;Variación anual;2012;-3,4
Total Nacional;1204007 Castelló de la Plana distrito 07;Variación anual;2011;..
Total Nacional;1204008 Castelló de la Plana distrito 08;Índice;2022;116,716
Total Nacional;1204008 Castelló de la Plana distrito 08;Índice;2021;112,995
Total Nacional;1204008 Castelló de la Plana distrito 08;Índice;2020;109,469
Total Nacional;1204008 Castelló de la Plana distrito 08;Índice;2019;108,886
Total Nacional;1204008 Castelló de la Plana distrito 08;Índice;2018;105,519
