Total Nacional;Provincias;Tipo de edificación;Tipo de dato;Periodo;Total
Total Nacional;02 Albacete;Vivienda unifamiliar;Índice;2011;108,1
Total Nacional;02 Albacete;Vivienda unifamiliar;Variación anual;2022;1,4
Total Nacional;02 Albacete;Vivienda unifamiliar;Variación anual;2021;1,7
Total Nacional;02 Albacete;Vivienda unifamiliar;Variación anual;2020;0,6
Total Nacional;02 Albacete;Vivienda unifamiliar;Variación anual;2019;2,3
Total Nacional;02 Albacete;Vivienda unifamiliar;Variación anual;2018;0,9
Total Nacional;02 Albacete;Vivienda unifamiliar;Variación anual;2017;2,1
Total Nacional;02 Albacete;Vivienda unifamiliar;Variación anual;2016;1,6
Total Nacional;02 Albacete;Vivienda unifamiliar;Variación anual;2015;-2
Total Nacional;02 Albacete;Vivienda unifamiliar;Variación anual;2014;-1,7
Total Nacional;02 Albacete;Vivienda unifamiliar;Variación anual;2013;-2,1
Total Nacional;02 Albacete;Vivienda unifamiliar;Variación anual;2012;-1,9
Total Nacional;02 Albacete;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;02 Albacete;Vivienda colectiva;Índice;2022;112,811
Total Nacional;02 Albacete;Vivienda colectiva;Índice;2021;110,188
Total Nacional;02 Albacete;Vivienda colectiva;Índice;2020;107,674
Total Nacional;02 Albacete;Vivienda colectiva;Índice;2019;106,803
Total Nacional;02 Albacete;Vivienda colectiva;Índice;2018;103,848
Total Nacional;02 Albacete;Vivienda colectiva;Índice;2017;102,126
Total Nacional;02 Albacete;Vivienda colectiva;Índice;2016;101,296
Total Nacional;02 Albacete;Vivienda colectiva;Índice;2015;100
Total Nacional;02 Albacete;Vivienda colectiva;Índice;2014;100,916
Total Nacional;02 Albacete;Vivienda colectiva;Índice;2013;102,261
Total Nacional;02 Albacete;Vivienda colectiva;Índice;2012;105,192
Total Nacional;02 Albacete;Vivienda colectiva;Índice;2011;108,017
Total Nacional;02 Albacete;Vivienda colectiva;Variación anual;2022;2,4
Total Nacional;02 Albacete;Vivienda colectiva;Variación anual;2021;2,3
Total Nacional;02 Albacete;Vivienda colectiva;Variación anual;2020;0,8
Total Nacional;02 Albacete;Vivienda colectiva;Variación anual;2019;2,8
Total Nacional;02 Albacete;Vivienda colectiva;Variación anual;2018;1,7
Total Nacional;02 Albacete;Vivienda colectiva;Variación anual;2017;0,8
Total Nacional;02 Albacete;Vivienda colectiva;Variación anual;2016;1,3
Total Nacional;02 Albacete;Vivienda colectiva;Variación anual;2015;-0,9
Total Nacional;02 Albacete;Vivienda colectiva;Variación anual;2014;-1,3
Total Nacional;02 Albacete;Vivienda colectiva;Variación anual;2013;-2,8
Total Nacional;02 Albacete;Vivienda colectiva;Variación anual;2012;-2,6
Total Nacional;02 Albacete;Vivienda colectiva;Variación anual;2011;..
Total Nacional;03 Alicante/Alacant;Total;Índice;2022;115,537
Total Nacional;03 Alicante/Alacant;Total;Índice;2021;112,182
Total Nacional;03 Alicante/Alacant;Total;Índice;2020;109,775
Total Nacional;03 Alicante/Alacant;Total;Índice;2019;108,985
Total Nacional;03 Alicante/Alacant;Total;Índice;2018;105,671
Total Nacional;03 Alicante/Alacant;Total;Índice;2017;103,381
Total Nacional;03 Alicante/Alacant;Total;Índice;2016;101,842
Total Nacional;03 Alicante/Alacant;Total;Índice;2015;100
Total Nacional;03 Alicante/Alacant;Total;Índice;2014;99,608
Total Nacional;03 Alicante/Alacant;Total;Índice;2013;99,853
Total Nacional;03 Alicante/Alacant;Total;Índice;2012;101,994
Total Nacional;03 Alicante/Alacant;Total;Índice;2011;103,642
Total Nacional;03 Alicante/Alacant;Total;Variación anual;2022;3
Total Nacional;03 Alicante/Alacant;Total;Variación anual;2021;2,2
Total Nacional;03 Alicante/Alacant;Total;Variación anual;2020;0,7
Total Nacional;03 Alicante/Alacant;Total;Variación anual;2019;3,1
Total Nacional;03 Alicante/Alacant;Total;Variación anual;2018;2,2
Total Nacional;03 Alicante/Alacant;Total;Variación anual;2017;1,5
Total Nacional;03 Alicante/Alacant;Total;Variación anual;2016;1,8
Total Nacional;03 Alicante/Alacant;Total;Variación anual;2015;0,4
Total Nacional;03 Alicante/Alacant;Total;Variación anual;2014;-0,2
Total Nacional;03 Alicante/Alacant;Total;Variación anual;2013;-2,1
Total Nacional;03 Alicante/Alacant;Total;Variación anual;2012;-1,6
Total Nacional;03 Alicante/Alacant;Total;Variación anual;2011;..
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Índice;2022;112,319
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Índice;2021;109,634
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Índice;2020;107,274
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Índice;2019;106,801
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Índice;2018;104,993
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Índice;2017;102,586
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Índice;2016;101,82
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Índice;2015;100
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Índice;2014;98,747
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Índice;2013;98,763
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Índice;2012;99,515
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Índice;2011;100,341
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Variación anual;2022;2,4
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Variación anual;2021;2,2
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Variación anual;2020;0,4
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Variación anual;2019;1,7
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Variación anual;2018;2,3
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Variación anual;2017;0,8
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Variación anual;2016;1,8
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Variación anual;2015;1,3
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Variación anual;2014;0
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Variación anual;2013;-0,8
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Variación anual;2012;-0,8
Total Nacional;03 Alicante/Alacant;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Índice;2022;116,179
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Índice;2021;112,688
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Índice;2020;110,272
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Índice;2019;109,418
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Índice;2018;105,804
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Índice;2017;103,537
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Índice;2016;101,846
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Índice;2015;100
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Índice;2014;99,77
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Índice;2013;100,057
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Índice;2012;102,438
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Índice;2011;104,223
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Variación anual;2022;3,1
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Variación anual;2021;2,2
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Variación anual;2020;0,8
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Variación anual;2019;3,4
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Variación anual;2018;2,2
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Variación anual;2017;1,7
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Variación anual;2016;1,8
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Variación anual;2015;0,2
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Variación anual;2014;-0,3
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Variación anual;2013;-2,3
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Variación anual;2012;-1,7
Total Nacional;03 Alicante/Alacant;Vivienda colectiva;Variación anual;2011;..
Total Nacional;04 Almería;Total;Índice;2022;114,64
Total Nacional;04 Almería;Total;Índice;2021;111,744
Total Nacional;04 Almería;Total;Índice;2020;109,501
Total Nacional;04 Almería;Total;Índice;2019;107,809
Total Nacional;04 Almería;Total;Índice;2018;104,755
Total Nacional;04 Almería;Total;Índice;2017;102,822
Total Nacional;04 Almería;Total;Índice;2016;101,718
Total Nacional;04 Almería;Total;Índice;2015;100
Total Nacional;04 Almería;Total;Índice;2014;100,608
Total Nacional;04 Almería;Total;Índice;2013;101,682
Total Nacional;04 Almería;Total;Índice;2012;105,1
Total Nacional;04 Almería;Total;Índice;2011;108,386
