Total Nacional;Provincias;Tipo de edificación;Tipo de dato;Periodo;Total
Total Nacional;13 Ciudad Real;Total;Variación anual;2017;0,5
Total Nacional;13 Ciudad Real;Total;Variación anual;2016;1,5
Total Nacional;13 Ciudad Real;Total;Variación anual;2015;-1,9
Total Nacional;13 Ciudad Real;Total;Variación anual;2014;-1,7
Total Nacional;13 Ciudad Real;Total;Variación anual;2013;-3,6
Total Nacional;13 Ciudad Real;Total;Variación anual;2012;-1,3
Total Nacional;13 Ciudad Real;Total;Variación anual;2011;..
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Índice;2022;106,7
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Índice;2021;105,701
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Índice;2020;104,764
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Índice;2019;103,228
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Índice;2018;102,936
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Índice;2017;102,038
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Índice;2016;100,916
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Índice;2015;100
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Índice;2014;100,595
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Índice;2013;100,949
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Índice;2012;103,729
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Índice;2011;104,967
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Variación anual;2022;0,9
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Variación anual;2021;0,9
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Variación anual;2020;1,5
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Variación anual;2019;0,3
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Variación anual;2018;0,9
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Variación anual;2017;1,1
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Variación anual;2016;0,9
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Variación anual;2015;-0,6
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Variación anual;2014;-0,4
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Variación anual;2013;-2,7
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Variación anual;2012;-1,2
Total Nacional;13 Ciudad Real;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;13 Ciudad Real;Vivienda colectiva;Índice;2022;112,239
Total Nacional;13 Ciudad Real;Vivienda colectiva;Índice;2021;109,759
Total Nacional;13 Ciudad Real;Vivienda colectiva;Índice;2020;107,531
Total Nacional;13 Ciudad Real;Vivienda colectiva;Índice;2019;106,424
Total Nacional;13 Ciudad Real;Vivienda colectiva;Índice;2018;103,476
Total Nacional;13 Ciudad Real;Vivienda colectiva;Índice;2017;102,065
Total Nacional;13 Ciudad Real;Vivienda colectiva;Índice;2016;101,633
Total Nacional;13 Ciudad Real;Vivienda colectiva;Índice;2015;100
Total Nacional;13 Ciudad Real;Vivienda colectiva;Índice;2014;102,119
Total Nacional;13 Ciudad Real;Vivienda colectiva;Índice;2013;104,113
Total Nacional;13 Ciudad Real;Vivienda colectiva;Índice;2012;108,145
Total Nacional;13 Ciudad Real;Vivienda colectiva;Índice;2011;109,651
Total Nacional;13 Ciudad Real;Vivienda colectiva;Variación anual;2022;2,3
Total Nacional;13 Ciudad Real;Vivienda colectiva;Variación anual;2021;2,1
Total Nacional;13 Ciudad Real;Vivienda colectiva;Variación anual;2020;1
Total Nacional;13 Ciudad Real;Vivienda colectiva;Variación anual;2019;2,8
Total Nacional;13 Ciudad Real;Vivienda colectiva;Variación anual;2018;1,4
Total Nacional;13 Ciudad Real;Vivienda colectiva;Variación anual;2017;0,4
Total Nacional;13 Ciudad Real;Vivienda colectiva;Variación anual;2016;1,6
Total Nacional;13 Ciudad Real;Vivienda colectiva;Variación anual;2015;-2,1
Total Nacional;13 Ciudad Real;Vivienda colectiva;Variación anual;2014;-1,9
Total Nacional;13 Ciudad Real;Vivienda colectiva;Variación anual;2013;-3,7
Total Nacional;13 Ciudad Real;Vivienda colectiva;Variación anual;2012;-1,4
Total Nacional;13 Ciudad Real;Vivienda colectiva;Variación anual;2011;..
Total Nacional;14 Córdoba;Total;Índice;2022;110,124
Total Nacional;14 Córdoba;Total;Índice;2021;108,202
Total Nacional;14 Córdoba;Total;Índice;2020;106,694
Total Nacional;14 Córdoba;Total;Índice;2019;106,498
Total Nacional;14 Córdoba;Total;Índice;2018;103,702
Total Nacional;14 Córdoba;Total;Índice;2017;102,472
Total Nacional;14 Córdoba;Total;Índice;2016;101,251
Total Nacional;14 Córdoba;Total;Índice;2015;100
Total Nacional;14 Córdoba;Total;Índice;2014;100,683
Total Nacional;14 Córdoba;Total;Índice;2013;101,086
Total Nacional;14 Córdoba;Total;Índice;2012;103,842
Total Nacional;14 Córdoba;Total;Índice;2011;104,496
Total Nacional;14 Córdoba;Total;Variación anual;2022;1,8
Total Nacional;14 Córdoba;Total;Variación anual;2021;1,4
Total Nacional;14 Córdoba;Total;Variación anual;2020;0,2
Total Nacional;14 Córdoba;Total;Variación anual;2019;2,7
Total Nacional;14 Córdoba;Total;Variación anual;2018;1,2
Total Nacional;14 Córdoba;Total;Variación anual;2017;1,2
Total Nacional;14 Córdoba;Total;Variación anual;2016;1,3
Total Nacional;14 Córdoba;Total;Variación anual;2015;-0,7
Total Nacional;14 Córdoba;Total;Variación anual;2014;-0,4
Total Nacional;14 Córdoba;Total;Variación anual;2013;-2,7
Total Nacional;14 Córdoba;Total;Variación anual;2012;-0,6
Total Nacional;14 Córdoba;Total;Variación anual;2011;..
Total Nacional;14 Córdoba;Vivienda unifamiliar;Índice;2022;107,343
Total Nacional;14 Córdoba;Vivienda unifamiliar;Índice;2021;105,815
Total Nacional;14 Córdoba;Vivienda unifamiliar;Índice;2020;103,953
Total Nacional;14 Córdoba;Vivienda unifamiliar;Índice;2019;103,878
Total Nacional;14 Córdoba;Vivienda unifamiliar;Índice;2018;102,821
Total Nacional;14 Córdoba;Vivienda unifamiliar;Índice;2017;101,974
Total Nacional;14 Córdoba;Vivienda unifamiliar;Índice;2016;101,292
Total Nacional;14 Córdoba;Vivienda unifamiliar;Índice;2015;100
Total Nacional;14 Córdoba;Vivienda unifamiliar;Índice;2014;99,395
Total Nacional;14 Córdoba;Vivienda unifamiliar;Índice;2013;97,182
Total Nacional;14 Córdoba;Vivienda unifamiliar;Índice;2012;100,535
Total Nacional;14 Córdoba;Vivienda unifamiliar;Índice;2011;100,568
Total Nacional;14 Córdoba;Vivienda unifamiliar;Variación anual;2022;1,4
Total Nacional;14 Córdoba;Vivienda unifamiliar;Variación anual;2021;1,8
Total Nacional;14 Córdoba;Vivienda unifamiliar;Variación anual;2020;0,1
Total Nacional;14 Córdoba;Vivienda unifamiliar;Variación anual;2019;1
Total Nacional;14 Córdoba;Vivienda unifamiliar;Variación anual;2018;0,8
Total Nacional;14 Córdoba;Vivienda unifamiliar;Variación anual;2017;0,7
Total Nacional;14 Córdoba;Vivienda unifamiliar;Variación anual;2016;1,3
Total Nacional;14 Córdoba;Vivienda unifamiliar;Variación anual;2015;0,6
Total Nacional;14 Córdoba;Vivienda unifamiliar;Variación anual;2014;2,3
Total Nacional;14 Córdoba;Vivienda unifamiliar;Variación anual;2013;-3,3
Total Nacional;14 Córdoba;Vivienda unifamiliar;Variación anual;2012;0
Total Nacional;14 Córdoba;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;14 Córdoba;Vivienda colectiva;Índice;2022;110,431
Total Nacional;14 Córdoba;Vivienda colectiva;Índice;2021;108,46
Total Nacional;14 Córdoba;Vivienda colectiva;Índice;2020;106,998
Total Nacional;14 Córdoba;Vivienda colectiva;Índice;2019;106,788
Total Nacional;14 Córdoba;Vivienda colectiva;Índice;2018;103,796
Total Nacional;14 Córdoba;Vivienda colectiva;Índice;2017;102,524
Total Nacional;14 Córdoba;Vivienda colectiva;Índice;2016;101,247
Total Nacional;14 Córdoba;Vivienda colectiva;Índice;2015;100
Total Nacional;14 Córdoba;Vivienda colectiva;Índice;2014;100,805
Total Nacional;14 Córdoba;Vivienda colectiva;Índice;2013;101,438
Total Nacional;14 Córdoba;Vivienda colectiva;Índice;2012;104,144
Total Nacional;14 Córdoba;Vivienda colectiva;Índice;2011;104,848
Total Nacional;14 Córdoba;Vivienda colectiva;Variación anual;2022;1,8
Total Nacional;14 Córdoba;Vivienda colectiva;Variación anual;2021;1,4
Total Nacional;14 Córdoba;Vivienda colectiva;Variación anual;2020;0,2
Total Nacional;14 Córdoba;Vivienda colectiva;Variación anual;2019;2,9
Total Nacional;14 Córdoba;Vivienda colectiva;Variación anual;2018;1,2
Total Nacional;14 Córdoba;Vivienda colectiva;Variación anual;2017;1,3
Total Nacional;14 Córdoba;Vivienda colectiva;Variación anual;2016;1,2
Total Nacional;14 Córdoba;Vivienda colectiva;Variación anual;2015;-0,8
Total Nacional;14 Córdoba;Vivienda colectiva;Variación anual;2014;-0,6
Total Nacional;14 Córdoba;Vivienda colectiva;Variación anual;2013;-2,6
Total Nacional;14 Córdoba;Vivienda colectiva;Variación anual;2012;-0,7
Total Nacional;14 Córdoba;Vivienda colectiva;Variación anual;2011;..
Total Nacional;15 Coruña, A;Total;Índice;2022;111,594
Total Nacional;15 Coruña, A;Total;Índice;2021;108,809
Total Nacional;15 Coruña, A;Total;Índice;2020;106,754
Total Nacional;15 Coruña, A;Total;Índice;2019;105,478
Total Nacional;15 Coruña, A;Total;Índice;2018;102,727
Total Nacional;15 Coruña, A;Total;Índice;2017;101,56
Total Nacional;15 Coruña, A;Total;Índice;2016;100,698
Total Nacional;15 Coruña, A;Total;Índice;2015;100
Total Nacional;15 Coruña, A;Total;Índice;2014;100,449
Total Nacional;15 Coruña, A;Total;Índice;2013;101,055
Total Nacional;15 Coruña, A;Total;Índice;2012;102,89
Total Nacional;15 Coruña, A;Total;Índice;2011;103,422
Total Nacional;15 Coruña, A;Total;Variación anual;2022;2,6
Total Nacional;15 Coruña, A;Total;Variación anual;2021;1,9
Total Nacional;15 Coruña, A;Total;Variación anual;2020;1,2
Total Nacional;15 Coruña, A;Total;Variación anual;2019;2,7
Total Nacional;15 Coruña, A;Total;Variación anual;2018;1,1
Total Nacional;15 Coruña, A;Total;Variación anual;2017;0,9
Total Nacional;15 Coruña, A;Total;Variación anual;2016;0,7
Total Nacional;15 Coruña, A;Total;Variación anual;2015;-0,4
Total Nacional;15 Coruña, A;Total;Variación anual;2014;-0,6
Total Nacional;15 Coruña, A;Total;Variación anual;2013;-1,8
Total Nacional;15 Coruña, A;Total;Variación anual;2012;-0,5
Total Nacional;15 Coruña, A;Total;Variación anual;2011;..
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Índice;2022;108,867
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Índice;2021;106,175
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Índice;2020;104,707
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Índice;2019;103,567
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Índice;2018;102,62
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Índice;2017;102,326
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Índice;2016;101,296
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Índice;2015;100
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Índice;2014;99,35
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Índice;2013;99,501
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Índice;2012;100,207
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Índice;2011;100,54
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Variación anual;2022;2,5
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Variación anual;2021;1,4
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Variación anual;2020;1,1
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Variación anual;2019;0,9
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Variación anual;2018;0,3
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Variación anual;2017;1
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Variación anual;2016;1,3
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Variación anual;2015;0,7
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Variación anual;2014;-0,2
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Variación anual;2013;-0,7
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Variación anual;2012;-0,3
Total Nacional;15 Coruña, A;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;15 Coruña, A;Vivienda colectiva;Índice;2022;111,822
Total Nacional;15 Coruña, A;Vivienda colectiva;Índice;2021;109,029
Total Nacional;15 Coruña, A;Vivienda colectiva;Índice;2020;106,921
Total Nacional;15 Coruña, A;Vivienda colectiva;Índice;2019;105,634
Total Nacional;15 Coruña, A;Vivienda colectiva;Índice;2018;102,738
Total Nacional;15 Coruña, A;Vivienda colectiva;Índice;2017;101,501
Total Nacional;15 Coruña, A;Vivienda colectiva;Índice;2016;100,652
Total Nacional;15 Coruña, A;Vivienda colectiva;Índice;2015;100
Total Nacional;15 Coruña, A;Vivienda colectiva;Índice;2014;100,53
Total Nacional;15 Coruña, A;Vivienda colectiva;Índice;2013;101,168
Total Nacional;15 Coruña, A;Vivienda colectiva;Índice;2012;103,08
Total Nacional;15 Coruña, A;Vivienda colectiva;Índice;2011;103,625
Total Nacional;15 Coruña, A;Vivienda colectiva;Variación anual;2022;2,6
Total Nacional;15 Coruña, A;Vivienda colectiva;Variación anual;2021;2
Total Nacional;15 Coruña, A;Vivienda colectiva;Variación anual;2020;1,2
Total Nacional;15 Coruña, A;Vivienda colectiva;Variación anual;2019;2,8
Total Nacional;15 Coruña, A;Vivienda colectiva;Variación anual;2018;1,2
Total Nacional;15 Coruña, A;Vivienda colectiva;Variación anual;2017;0,8
Total Nacional;15 Coruña, A;Vivienda colectiva;Variación anual;2016;0,7
Total Nacional;15 Coruña, A;Vivienda colectiva;Variación anual;2015;-0,5
Total Nacional;15 Coruña, A;Vivienda colectiva;Variación anual;2014;-0,6
Total Nacional;15 Coruña, A;Vivienda colectiva;Variación anual;2013;-1,9
Total Nacional;15 Coruña, A;Vivienda colectiva;Variación anual;2012;-0,5
Total Nacional;15 Coruña, A;Vivienda colectiva;Variación anual;2011;..
Total Nacional;16 Cuenca;Total;Índice;2022;114,335
Total Nacional;16 Cuenca;Total;Índice;2021;110,829
Total Nacional;16 Cuenca;Total;Índice;2020;107,837
Total Nacional;16 Cuenca;Total;Índice;2019;106,78
Total Nacional;16 Cuenca;Total;Índice;2018;104,242
Total Nacional;16 Cuenca;Total;Índice;2017;102,355
Total Nacional;16 Cuenca;Total;Índice;2016;101,679
Total Nacional;16 Cuenca;Total;Índice;2015;100
Total Nacional;16 Cuenca;Total;Índice;2014;101,767
Total Nacional;16 Cuenca;Total;Índice;2013;104,203
Total Nacional;16 Cuenca;Total;Índice;2012;109,745
Total Nacional;16 Cuenca;Total;Índice;2011;113,109
Total Nacional;16 Cuenca;Total;Variación anual;2022;3,2
Total Nacional;16 Cuenca;Total;Variación anual;2021;2,8
Total Nacional;16 Cuenca;Total;Variación anual;2020;1
Total Nacional;16 Cuenca;Total;Variación anual;2019;2,4
Total Nacional;16 Cuenca;Total;Variación anual;2018;1,8
Total Nacional;16 Cuenca;Total;Variación anual;2017;0,7
Total Nacional;16 Cuenca;Total;Variación anual;2016;1,7
Total Nacional;16 Cuenca;Total;Variación anual;2015;-1,7
Total Nacional;16 Cuenca;Total;Variación anual;2014;-2,3
Total Nacional;16 Cuenca;Total;Variación anual;2013;-5,1
Total Nacional;16 Cuenca;Total;Variación anual;2012;-3
Total Nacional;16 Cuenca;Total;Variación anual;2011;..
Total Nacional;16 Cuenca;Vivienda unifamiliar;Índice;2022;109,662
Total Nacional;16 Cuenca;Vivienda unifamiliar;Índice;2021;106,625
Total Nacional;16 Cuenca;Vivienda unifamiliar;Índice;2020;104,296
Total Nacional;16 Cuenca;Vivienda unifamiliar;Índice;2019;103,055
Total Nacional;16 Cuenca;Vivienda unifamiliar;Índice;2018;101,969
Total Nacional;16 Cuenca;Vivienda unifamiliar;Índice;2017;101,666
Total Nacional;16 Cuenca;Vivienda unifamiliar;Índice;2016;100,277
Total Nacional;16 Cuenca;Vivienda unifamiliar;Índice;2015;100
Total Nacional;16 Cuenca;Vivienda unifamiliar;Índice;2014;100,858
Total Nacional;16 Cuenca;Vivienda unifamiliar;Índice;2013;101,24
Total Nacional;16 Cuenca;Vivienda unifamiliar;Índice;2012;103,452
Total Nacional;16 Cuenca;Vivienda unifamiliar;Índice;2011;109,243
Total Nacional;16 Cuenca;Vivienda unifamiliar;Variación anual;2022;2,8
Total Nacional;16 Cuenca;Vivienda unifamiliar;Variación anual;2021;2,2
Total Nacional;16 Cuenca;Vivienda unifamiliar;Variación anual;2020;1,2
Total Nacional;16 Cuenca;Vivienda unifamiliar;Variación anual;2019;1,1
Total Nacional;16 Cuenca;Vivienda unifamiliar;Variación anual;2018;0,3
Total Nacional;16 Cuenca;Vivienda unifamiliar;Variación anual;2017;1,4
Total Nacional;16 Cuenca;Vivienda unifamiliar;Variación anual;2016;0,3
Total Nacional;16 Cuenca;Vivienda unifamiliar;Variación anual;2015;-0,9
Total Nacional;16 Cuenca;Vivienda unifamiliar;Variación anual;2014;-0,4
Total Nacional;16 Cuenca;Vivienda unifamiliar;Variación anual;2013;-2,1
Total Nacional;16 Cuenca;Vivienda unifamiliar;Variación anual;2012;-5,3
Total Nacional;16 Cuenca;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;16 Cuenca;Vivienda colectiva;Índice;2022;115,325
Total Nacional;16 Cuenca;Vivienda colectiva;Índice;2021;111,702
Total Nacional;16 Cuenca;Vivienda colectiva;Índice;2020;108,545
Total Nacional;16 Cuenca;Vivienda colectiva;Índice;2019;107,53
Total Nacional;16 Cuenca;Vivienda colectiva;Índice;2018;104,685
Total Nacional;16 Cuenca;Vivienda colectiva;Índice;2017;102,475
Total Nacional;16 Cuenca;Vivienda colectiva;Índice;2016;101,948
Total Nacional;16 Cuenca;Vivienda colectiva;Índice;2015;100
Total Nacional;16 Cuenca;Vivienda colectiva;Índice;2014;101,935
Total Nacional;16 Cuenca;Vivienda colectiva;Índice;2013;104,73
Total Nacional;16 Cuenca;Vivienda colectiva;Índice;2012;110,862
Total Nacional;16 Cuenca;Vivienda colectiva;Índice;2011;113,855
Total Nacional;16 Cuenca;Vivienda colectiva;Variación anual;2022;3,2
Total Nacional;16 Cuenca;Vivienda colectiva;Variación anual;2021;2,9
Total Nacional;16 Cuenca;Vivienda colectiva;Variación anual;2020;0,9
Total Nacional;16 Cuenca;Vivienda colectiva;Variación anual;2019;2,7
Total Nacional;16 Cuenca;Vivienda colectiva;Variación anual;2018;2,2
Total Nacional;16 Cuenca;Vivienda colectiva;Variación anual;2017;0,5
Total Nacional;16 Cuenca;Vivienda colectiva;Variación anual;2016;1,9
Total Nacional;16 Cuenca;Vivienda colectiva;Variación anual;2015;-1,9
Total Nacional;16 Cuenca;Vivienda colectiva;Variación anual;2014;-2,7
Total Nacional;16 Cuenca;Vivienda colectiva;Variación anual;2013;-5,5
Total Nacional;16 Cuenca;Vivienda colectiva;Variación anual;2012;-2,6
Total Nacional;16 Cuenca;Vivienda colectiva;Variación anual;2011;..
Total Nacional;17 Girona;Total;Índice;2022;114,544
Total Nacional;17 Girona;Total;Índice;2021;111,596
Total Nacional;17 Girona;Total;Índice;2020;109,362
Total Nacional;17 Girona;Total;Índice;2019;108,136
Total Nacional;17 Girona;Total;Índice;2018;105,491
Total Nacional;17 Girona;Total;Índice;2017;103,06
Total Nacional;17 Girona;Total;Índice;2016;101,333
Total Nacional;17 Girona;Total;Índice;2015;100
Total Nacional;17 Girona;Total;Índice;2014;99,695
Total Nacional;17 Girona;Total;Índice;2013;100,039
Total Nacional;17 Girona;Total;Índice;2012;102,547
Total Nacional;17 Girona;Total;Índice;2011;104,372
Total Nacional;17 Girona;Total;Variación anual;2022;2,6
Total Nacional;17 Girona;Total;Variación anual;2021;2
Total Nacional;17 Girona;Total;Variación anual;2020;1,1
Total Nacional;17 Girona;Total;Variación anual;2019;2,5
Total Nacional;17 Girona;Total;Variación anual;2018;2,4
Total Nacional;17 Girona;Total;Variación anual;2017;1,7
Total Nacional;17 Girona;Total;Variación anual;2016;1,3
Total Nacional;17 Girona;Total;Variación anual;2015;0,3
Total Nacional;17 Girona;Total;Variación anual;2014;-0,3
Total Nacional;17 Girona;Total;Variación anual;2013;-2,4
Total Nacional;17 Girona;Total;Variación anual;2012;-1,7
Total Nacional;17 Girona;Total;Variación anual;2011;..
Total Nacional;17 Girona;Vivienda unifamiliar;Índice;2022;111,021
Total Nacional;17 Girona;Vivienda unifamiliar;Índice;2021;108,405
Total Nacional;17 Girona;Vivienda unifamiliar;Índice;2020;105,835
Total Nacional;17 Girona;Vivienda unifamiliar;Índice;2019;105,115
Total Nacional;17 Girona;Vivienda unifamiliar;Índice;2018;104,735
Total Nacional;17 Girona;Vivienda unifamiliar;Índice;2017;102,946
Total Nacional;17 Girona;Vivienda unifamiliar;Índice;2016;101,411
Total Nacional;17 Girona;Vivienda unifamiliar;Índice;2015;100
Total Nacional;17 Girona;Vivienda unifamiliar;Índice;2014;99,071
Total Nacional;17 Girona;Vivienda unifamiliar;Índice;2013;98,291
Total Nacional;17 Girona;Vivienda unifamiliar;Índice;2012;99,194
Total Nacional;17 Girona;Vivienda unifamiliar;Índice;2011;100,355
Total Nacional;17 Girona;Vivienda unifamiliar;Variación anual;2022;2,4
Total Nacional;17 Girona;Vivienda unifamiliar;Variación anual;2021;2,4
Total Nacional;17 Girona;Vivienda unifamiliar;Variación anual;2020;0,7
Total Nacional;17 Girona;Vivienda unifamiliar;Variación anual;2019;0,4
Total Nacional;17 Girona;Vivienda unifamiliar;Variación anual;2018;1,7
Total Nacional;17 Girona;Vivienda unifamiliar;Variación anual;2017;1,5
Total Nacional;17 Girona;Vivienda unifamiliar;Variación anual;2016;1,4
Total Nacional;17 Girona;Vivienda unifamiliar;Variación anual;2015;0,9
Total Nacional;17 Girona;Vivienda unifamiliar;Variación anual;2014;0,8
Total Nacional;17 Girona;Vivienda unifamiliar;Variación anual;2013;-0,9
Total Nacional;17 Girona;Vivienda unifamiliar;Variación anual;2012;-1,2
Total Nacional;17 Girona;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;17 Girona;Vivienda colectiva;Índice;2022;115,704
Total Nacional;17 Girona;Vivienda colectiva;Índice;2021;112,647
Total Nacional;17 Girona;Vivienda colectiva;Índice;2020;110,525
Total Nacional;17 Girona;Vivienda colectiva;Índice;2019;109,137
Total Nacional;17 Girona;Vivienda colectiva;Índice;2018;105,747
Total Nacional;17 Girona;Vivienda colectiva;Índice;2017;103,1
Total Nacional;17 Girona;Vivienda colectiva;Índice;2016;101,306
Total Nacional;17 Girona;Vivienda colectiva;Índice;2015;100
Total Nacional;17 Girona;Vivienda colectiva;Índice;2014;99,91
Total Nacional;17 Girona;Vivienda colectiva;Índice;2013;100,632
Total Nacional;17 Girona;Vivienda colectiva;Índice;2012;103,661
Total Nacional;17 Girona;Vivienda colectiva;Índice;2011;105,697
Total Nacional;17 Girona;Vivienda colectiva;Variación anual;2022;2,7
Total Nacional;17 Girona;Vivienda colectiva;Variación anual;2021;1,9
Total Nacional;17 Girona;Vivienda colectiva;Variación anual;2020;1,3
Total Nacional;17 Girona;Vivienda colectiva;Variación anual;2019;3,2
Total Nacional;17 Girona;Vivienda colectiva;Variación anual;2018;2,6
Total Nacional;17 Girona;Vivienda colectiva;Variación anual;2017;1,8
Total Nacional;17 Girona;Vivienda colectiva;Variación anual;2016;1,3
Total Nacional;17 Girona;Vivienda colectiva;Variación anual;2015;0,1
Total Nacional;17 Girona;Vivienda colectiva;Variación anual;2014;-0,7
Total Nacional;17 Girona;Vivienda colectiva;Variación anual;2013;-2,9
Total Nacional;17 Girona;Vivienda colectiva;Variación anual;2012;-1,9
Total Nacional;17 Girona;Vivienda colectiva;Variación anual;2011;..
Total Nacional;18 Granada;Total;Índice;2022;115,335
Total Nacional;18 Granada;Total;Índice;2021;112,098
Total Nacional;18 Granada;Total;Índice;2020;108,989
Total Nacional;18 Granada;Total;Índice;2019;108,443
Total Nacional;18 Granada;Total;Índice;2018;105,039
Total Nacional;18 Granada;Total;Índice;2017;102,815
Total Nacional;18 Granada;Total;Índice;2016;101,598
Total Nacional;18 Granada;Total;Índice;2015;100
Total Nacional;18 Granada;Total;Índice;2014;100,331
Total Nacional;18 Granada;Total;Índice;2013;101,64
Total Nacional;18 Granada;Total;Índice;2012;104,261
Total Nacional;18 Granada;Total;Índice;2011;106,194
Total Nacional;18 Granada;Total;Variación anual;2022;2,9
Total Nacional;18 Granada;Total;Variación anual;2021;2,9
Total Nacional;18 Granada;Total;Variación anual;2020;0,5
Total Nacional;18 Granada;Total;Variación anual;2019;3,2
Total Nacional;18 Granada;Total;Variación anual;2018;2,2
Total Nacional;18 Granada;Total;Variación anual;2017;1,2
Total Nacional;18 Granada;Total;Variación anual;2016;1,6
Total Nacional;18 Granada;Total;Variación anual;2015;-0,3
Total Nacional;18 Granada;Total;Variación anual;2014;-1,3
Total Nacional;18 Granada;Total;Variación anual;2013;-2,5
Total Nacional;18 Granada;Total;Variación anual;2012;-1,8
Total Nacional;18 Granada;Total;Variación anual;2011;..
Total Nacional;18 Granada;Vivienda unifamiliar;Índice;2022;111,47
Total Nacional;18 Granada;Vivienda unifamiliar;Índice;2021;109,149
Total Nacional;18 Granada;Vivienda unifamiliar;Índice;2020;106,443
Total Nacional;18 Granada;Vivienda unifamiliar;Índice;2019;105,645
Total Nacional;18 Granada;Vivienda unifamiliar;Índice;2018;104,207
Total Nacional;18 Granada;Vivienda unifamiliar;Índice;2017;102,836
Total Nacional;18 Granada;Vivienda unifamiliar;Índice;2016;101,658
Total Nacional;18 Granada;Vivienda unifamiliar;Índice;2015;100
Total Nacional;18 Granada;Vivienda unifamiliar;Índice;2014;100,441
Total Nacional;18 Granada;Vivienda unifamiliar;Índice;2013;101,272
Total Nacional;18 Granada;Vivienda unifamiliar;Índice;2012;104,753
Total Nacional;18 Granada;Vivienda unifamiliar;Índice;2011;106,652
Total Nacional;18 Granada;Vivienda unifamiliar;Variación anual;2022;2,1
Total Nacional;18 Granada;Vivienda unifamiliar;Variación anual;2021;2,5
Total Nacional;18 Granada;Vivienda unifamiliar;Variación anual;2020;0,8
Total Nacional;18 Granada;Vivienda unifamiliar;Variación anual;2019;1,4
Total Nacional;18 Granada;Vivienda unifamiliar;Variación anual;2018;1,3
Total Nacional;18 Granada;Vivienda unifamiliar;Variación anual;2017;1,2
Total Nacional;18 Granada;Vivienda unifamiliar;Variación anual;2016;1,7
Total Nacional;18 Granada;Vivienda unifamiliar;Variación anual;2015;-0,4
Total Nacional;18 Granada;Vivienda unifamiliar;Variación anual;2014;-0,8
Total Nacional;18 Granada;Vivienda unifamiliar;Variación anual;2013;-3,3
Total Nacional;18 Granada;Vivienda unifamiliar;Variación anual;2012;-1,8
Total Nacional;18 Granada;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;18 Granada;Vivienda colectiva;Índice;2022;116,04
Total Nacional;18 Granada;Vivienda colectiva;Índice;2021;112,631
Total Nacional;18 Granada;Vivienda colectiva;Índice;2020;109,446
Total Nacional;18 Granada;Vivienda colectiva;Índice;2019;108,946
Total Nacional;18 Granada;Vivienda colectiva;Índice;2018;105,186
