Tipo de transmitiente;Tipo de titular;Periodo;Total
Persona física;Persona física;2012M05;48,4
Persona física;Persona física;2012M04;49,3
Persona física;Persona física;2012M03;52,2
Persona física;Persona física;2012M02;47,2
Persona física;Persona física;2012M01;48,7
Persona física;Persona física;2011M12;53,4
Persona física;Persona física;2011M11;52,1
Persona física;Persona física;2011M10;54,1
Persona física;Persona física;2011M09;55,5
Persona física;Persona física;2011M08;55,4
Persona física;Persona física;2011M07;51,3
Persona física;Persona física;2011M06;56
Persona física;Persona física;2011M05;57,5
Persona física;Persona física;2011M04;66,4
Persona física;Persona física;2011M03;68,2
Persona física;Persona física;2011M02;68,7
Persona física;Persona física;2011M01;69
Persona física;Persona física;2010M12;68,9
Persona física;Persona física;2010M11;69,3
Persona física;Persona física;2010M10;71,1
Persona física;Persona física;2010M09;70,8
Persona física;Persona física;2010M08;69
Persona física;Persona física;2010M07;68,2
Persona física;Persona física;2010M06;70
Persona física;Persona física;2010M05;67,9
Persona física;Persona física;2010M04;68,9
Persona física;Persona física;2010M03;70
Persona física;Persona física;2010M02;65
Persona física;Persona física;2010M01;65,9
Persona física;Persona física;2009M12;66,9
Persona física;Persona física;2009M11;65,2
Persona física;Persona física;2009M10;65,7
Persona física;Persona física;2009M09;66
Persona física;Persona física;2009M08;61,7
Persona física;Persona física;2009M07;66
Persona física;Persona física;2009M06;63,9
Persona física;Persona física;2009M05;63,6
Persona física;Persona física;2009M04;62,1
Persona física;Persona física;2009M03;60,5
Persona física;Persona física;2009M02;61,1
Persona física;Persona física;2009M01;59,5
Persona física;Persona física;2008M12;60,1
Persona física;Persona física;2008M11;62,2
Persona física;Persona física;2008M10;59,9
Persona física;Persona física;2008M09;58,1
Persona física;Persona física;2008M08;61,8
Persona física;Persona física;2008M07;62
Persona física;Persona física;2008M06;65,1
Persona física;Persona física;2008M05;64
Persona física;Persona física;2008M04;64,6
Persona física;Persona física;2008M03;64,8
Persona física;Persona física;2008M02;63,9
Persona física;Persona física;2008M01;64,1
Persona física;Persona física;2007M12;65,9
Persona física;Persona física;2007M11;67,3
Persona física;Persona física;2007M10;67,9
Persona física;Persona física;2007M09;68
Persona física;Persona física;2007M08;68,1
Persona física;Persona física;2007M07;70,1
Persona física;Persona física;2007M06;69,5
Persona física;Persona física;2007M05;69,6
Persona física;Persona física;2007M04;72,1
Persona física;Persona física;2007M03;69,7
Persona física;Persona física;2007M02;68,8
Persona física;Persona física;2007M01;69,2
Persona física;Persona jurídica;2024M08;4,2
Persona física;Persona jurídica;2024M07;4,4
Persona física;Persona jurídica;2024M06;4,6
Persona física;Persona jurídica;2024M05;4,3
Persona física;Persona jurídica;2024M04;4,7
Persona física;Persona jurídica;2024M03;4,4
Persona física;Persona jurídica;2024M02;4,5
Persona física;Persona jurídica;2024M01;4,7
Persona física;Persona jurídica;2023M12;4,9
Persona física;Persona jurídica;2023M11;4,6
Persona física;Persona jurídica;2023M10;4,4
Persona física;Persona jurídica;2023M09;4,2
Persona física;Persona jurídica;2023M08;4,7
Persona física;Persona jurídica;2023M07;4,8
Persona física;Persona jurídica;2023M06;4,7
Persona física;Persona jurídica;2023M05;4,8
Persona física;Persona jurídica;2023M04;4,5
Persona física;Persona jurídica;2023M03;4,8
Persona física;Persona jurídica;2023M02;4,6
Persona física;Persona jurídica;2023M01;4,6
Persona física;Persona jurídica;2022M12;4,8
Persona física;Persona jurídica;2022M11;4,6
Persona física;Persona jurídica;2022M10;4,1
Persona física;Persona jurídica;2022M09;3,8
Persona física;Persona jurídica;2022M08;4,3
Persona física;Persona jurídica;2022M07;4,2
Persona física;Persona jurídica;2022M06;4,1
Persona física;Persona jurídica;2022M05;3,9
Persona física;Persona jurídica;2022M04;4,2
Persona física;Persona jurídica;2022M03;4,1
Persona física;Persona jurídica;2022M02;4,3
Persona física;Persona jurídica;2022M01;4,1
Persona física;Persona jurídica;2021M12;4
Persona física;Persona jurídica;2021M11;4,1
Persona física;Persona jurídica;2021M10;3,5
Persona física;Persona jurídica;2021M09;3,5
Persona física;Persona jurídica;2021M08;3,8
Persona física;Persona jurídica;2021M07;3,9
Persona física;Persona jurídica;2021M06;3,9
Persona física;Persona jurídica;2021M05;3,9
Persona física;Persona jurídica;2021M04;3,9
Persona física;Persona jurídica;2021M03;3,8
Persona física;Persona jurídica;2021M02;3,9
Persona física;Persona jurídica;2021M01;3,9
Persona física;Persona jurídica;2020M12;3,8
Persona física;Persona jurídica;2020M11;3,8
Persona física;Persona jurídica;2020M10;3,6
Persona física;Persona jurídica;2020M09;3,9
Persona física;Persona jurídica;2020M08;4,5
Persona física;Persona jurídica;2020M07;4,7
Persona física;Persona jurídica;2020M06;3,8
Persona física;Persona jurídica;2020M05;3,4
Persona física;Persona jurídica;2020M04;4,1
Persona física;Persona jurídica;2020M03;5,1
Persona física;Persona jurídica;2020M02;4,9
Persona física;Persona jurídica;2020M01;5
Persona física;Persona jurídica;2019M12;5,2
Persona física;Persona jurídica;2019M11;4,8
Persona física;Persona jurídica;2019M10;4,8
Persona física;Persona jurídica;2019M09;4,8
Persona física;Persona jurídica;2019M08;5,2
Persona física;Persona jurídica;2019M07;4,9
Persona física;Persona jurídica;2019M06;4,7
Persona física;Persona jurídica;2019M05;5,3
Persona física;Persona jurídica;2019M04;4,8
Persona física;Persona jurídica;2019M03;5
Persona física;Persona jurídica;2019M02;5,6
Persona física;Persona jurídica;2019M01;5,2
Persona física;Persona jurídica;2018M12;5,8
Persona física;Persona jurídica;2018M11;5,5
Persona física;Persona jurídica;2018M10;5,5
Persona física;Persona jurídica;2018M09;4,9
Persona física;Persona jurídica;2018M08;5,5
Persona física;Persona jurídica;2018M07;5,5
Persona física;Persona jurídica;2018M06;5,8
Persona física;Persona jurídica;2018M05;6
Persona física;Persona jurídica;2018M04;6,6
Persona física;Persona jurídica;2018M03;5,9
Persona física;Persona jurídica;2018M02;6,3
Persona física;Persona jurídica;2018M01;6,2
Persona física;Persona jurídica;2017M12;6,2
Persona física;Persona jurídica;2017M11;5,9
Persona física;Persona jurídica;2017M10;6,1
Persona física;Persona jurídica;2017M09;5,4
Persona física;Persona jurídica;2017M08;6,1
Persona física;Persona jurídica;2017M07;5,5
Persona física;Persona jurídica;2017M06;5,2
Persona física;Persona jurídica;2017M05;6,8
Persona física;Persona jurídica;2017M04;5,9
Persona física;Persona jurídica;2017M03;6,3
Persona física;Persona jurídica;2017M02;5,8
Persona física;Persona jurídica;2017M01;5,5
Persona física;Persona jurídica;2016M12;5,9
Persona física;Persona jurídica;2016M11;5,5
Persona física;Persona jurídica;2016M10;5,3
Persona física;Persona jurídica;2016M09;5,5
Persona física;Persona jurídica;2016M08;5,1
Persona física;Persona jurídica;2016M07;5,8
Persona física;Persona jurídica;2016M06;5,2
Persona física;Persona jurídica;2016M05;5,8
Persona física;Persona jurídica;2016M04;5,1
Persona física;Persona jurídica;2016M03;7
Persona física;Persona jurídica;2016M02;7,1
Persona física;Persona jurídica;2016M01;6,2
Persona física;Persona jurídica;2015M12;5,8
Persona física;Persona jurídica;2015M11;5,9
Persona física;Persona jurídica;2015M10;5,3
Persona física;Persona jurídica;2015M09;5,7
Persona física;Persona jurídica;2015M08;5
Persona física;Persona jurídica;2015M07;5,1
Persona física;Persona jurídica;2015M06;5,4
Persona física;Persona jurídica;2015M05;6,5
Persona física;Persona jurídica;2015M04;5,7
Persona física;Persona jurídica;2015M03;4,9
Persona física;Persona jurídica;2015M02;5,8
Persona física;Persona jurídica;2015M01;4,8
Persona física;Persona jurídica;2014M12;6,6
Persona física;Persona jurídica;2014M11;4,5
Persona física;Persona jurídica;2014M10;5,9
Persona física;Persona jurídica;2014M09;6,4
Persona física;Persona jurídica;2014M08;7,2
Persona física;Persona jurídica;2014M07;7,3
Persona física;Persona jurídica;2014M06;6,3
Persona física;Persona jurídica;2014M05;7,1
Persona física;Persona jurídica;2014M04;8,3
Persona física;Persona jurídica;2014M03;7,9
Persona física;Persona jurídica;2014M02;7,5
Persona física;Persona jurídica;2014M01;7,4
Persona física;Persona jurídica;2013M12;10
Persona física;Persona jurídica;2013M11;8,4
Persona física;Persona jurídica;2013M10;9,1
Persona física;Persona jurídica;2013M09;8,8
Persona física;Persona jurídica;2013M08;9
Persona física;Persona jurídica;2013M07;8,4
Persona física;Persona jurídica;2013M06;9,4
Persona física;Persona jurídica;2013M05;10,9
Persona física;Persona jurídica;2013M04;10,9
Persona física;Persona jurídica;2013M03;8,9
Persona física;Persona jurídica;2013M02;8,1
Persona física;Persona jurídica;2013M01;8
Persona física;Persona jurídica;2012M12;8,8
Persona física;Persona jurídica;2012M11;8,7
Persona física;Persona jurídica;2012M10;9,3
Persona física;Persona jurídica;2012M09;7,9
Persona física;Persona jurídica;2012M08;9,3
Persona física;Persona jurídica;2012M07;8,1
Persona física;Persona jurídica;2012M06;9,1
Persona física;Persona jurídica;2012M05;8,4
Persona física;Persona jurídica;2012M04;10,3
Persona física;Persona jurídica;2012M03;8,7
Persona física;Persona jurídica;2012M02;10,3
Persona física;Persona jurídica;2012M01;7,5
Persona física;Persona jurídica;2011M12;7
Persona física;Persona jurídica;2011M11;9,7
Persona física;Persona jurídica;2011M10;7,6
Persona física;Persona jurídica;2011M09;6,7
Persona física;Persona jurídica;2011M08;7,2
Persona física;Persona jurídica;2011M07;12,6
Persona física;Persona jurídica;2011M06;7,9
Persona física;Persona jurídica;2011M05;7,4
Persona física;Persona jurídica;2011M04;5,6
Persona física;Persona jurídica;2011M03;5,1
Persona física;Persona jurídica;2011M02;4,3
Persona física;Persona jurídica;2011M01;4,9
Persona física;Persona jurídica;2010M12;5
Persona física;Persona jurídica;2010M11;3,7
Persona física;Persona jurídica;2010M10;4,3
Persona física;Persona jurídica;2010M09;3,7
Persona física;Persona jurídica;2010M08;4
Persona física;Persona jurídica;2010M07;3,5
Persona física;Persona jurídica;2010M06;3,9
Persona física;Persona jurídica;2010M05;4,2
Persona física;Persona jurídica;2010M04;3,8
Persona física;Persona jurídica;2010M03;3,6
Persona física;Persona jurídica;2010M02;3,8
Persona física;Persona jurídica;2010M01;3,9
Persona física;Persona jurídica;2009M12;3,8
Persona física;Persona jurídica;2009M11;3,2
Persona física;Persona jurídica;2009M10;4,4
Persona física;Persona jurídica;2009M09;3,5
Persona física;Persona jurídica;2009M08;5,5
Persona física;Persona jurídica;2009M07;3,6
Persona física;Persona jurídica;2009M06;3,8
Persona física;Persona jurídica;2009M05;3,2
Persona física;Persona jurídica;2009M04;3,6
Persona física;Persona jurídica;2009M03;3,3
Persona física;Persona jurídica;2009M02;3,9
Persona física;Persona jurídica;2009M01;2,9
Persona física;Persona jurídica;2008M12;2,8
Persona física;Persona jurídica;2008M11;2,6
Persona física;Persona jurídica;2008M10;2,2
Persona física;Persona jurídica;2008M09;2,6
Persona física;Persona jurídica;2008M08;2,3
Persona física;Persona jurídica;2008M07;3,2
Persona física;Persona jurídica;2008M06;2,3
Persona física;Persona jurídica;2008M05;2,2
Persona física;Persona jurídica;2008M04;2,4
Persona física;Persona jurídica;2008M03;2,5
Persona física;Persona jurídica;2008M02;3
Persona física;Persona jurídica;2008M01;3
Persona física;Persona jurídica;2007M12;2,6
Persona física;Persona jurídica;2007M11;3,4
Persona física;Persona jurídica;2007M10;2,9
Persona física;Persona jurídica;2007M09;3
Persona física;Persona jurídica;2007M08;3,4
Persona física;Persona jurídica;2007M07;3,1
Persona física;Persona jurídica;2007M06;3,6
Persona física;Persona jurídica;2007M05;3,7
Persona física;Persona jurídica;2007M04;3,3
Persona física;Persona jurídica;2007M03;3,5
Persona física;Persona jurídica;2007M02;3,8
Persona física;Persona jurídica;2007M01;3,4
Persona jurídica;Persona física;2024M08;18,4
Persona jurídica;Persona física;2024M07;17,7
Persona jurídica;Persona física;2024M06;18,6
Persona jurídica;Persona física;2024M05;18,7
Persona jurídica;Persona física;2024M04;19,1
Persona jurídica;Persona física;2024M03;20,2
Persona jurídica;Persona física;2024M02;21
Persona jurídica;Persona física;2024M01;21,2
Persona jurídica;Persona física;2023M12;20,4
Persona jurídica;Persona física;2023M11;20
Persona jurídica;Persona física;2023M10;20,7
Persona jurídica;Persona física;2023M09;21,2
Persona jurídica;Persona física;2023M08;20
Persona jurídica;Persona física;2023M07;20,1
Persona jurídica;Persona física;2023M06;20,6
Persona jurídica;Persona física;2023M05;20,4
Persona jurídica;Persona física;2023M04;20,8
Persona jurídica;Persona física;2023M03;20,6
Persona jurídica;Persona física;2023M02;21,3
Persona jurídica;Persona física;2023M01;20,6
Persona jurídica;Persona física;2022M12;19,9
Persona jurídica;Persona física;2022M11;19,9
Persona jurídica;Persona física;2022M10;20,4
Persona jurídica;Persona física;2022M09;19,8
Persona jurídica;Persona física;2022M08;18,9
Persona jurídica;Persona física;2022M07;19,1
Persona jurídica;Persona física;2022M06;19,1
