Provincias;Sexo;Periodo;Total
27 Lugo;Total;2019;329.587
27 Lugo;Total;2018;331.327
27 Lugo;Total;2017;333.634
27 Lugo;Total;2016;336.527
27 Lugo;Total;2015;339.386
27 Lugo;Total;2014;342.748
27 Lugo;Total;2013;346.005
27 Lugo;Total;2012;348.902
27 Lugo;Total;2011;351.530
27 Lugo;Total;2010;353.504
27 Lugo;Total;2009;355.195
27 Lugo;Total;2008;355.549
27 Lugo;Total;2007;355.176
27 Lugo;Total;2006;356.595
27 Lugo;Total;2005;357.625
27 Lugo;Total;2004;358.452
27 Lugo;Total;2003;360.512
27 Lugo;Total;2002;361.782
27 Lugo;Total;2001;364.125
27 Lugo;Total;2000;365.619
27 Lugo;Total;1999;366.934
27 Lugo;Total;1998;367.751
27 Lugo;Total;1997;""
27 Lugo;Total;1996;370.303
28 Madrid;Total;2021;6.751.251
28 Madrid;Total;2020;6.779.888
28 Madrid;Total;2019;6.663.394
28 Madrid;Total;2018;6.578.079
28 Madrid;Total;2017;6.507.184
28 Madrid;Total;2016;6.466.996
28 Madrid;Total;2015;6.436.996
28 Madrid;Total;2014;6.454.440
28 Madrid;Total;2013;6.495.551
28 Madrid;Total;2012;6.498.560
28 Madrid;Total;2011;6.489.680
28 Madrid;Total;2010;6.458.684
28 Madrid;Total;2009;6.386.932
28 Madrid;Total;2008;6.271.638
28 Madrid;Total;2007;6.081.689
28 Madrid;Total;2006;6.008.183
28 Madrid;Total;2005;5.964.143
28 Madrid;Total;2004;5.804.829
28 Madrid;Total;2003;5.718.942
28 Madrid;Total;2002;5.527.152
28 Madrid;Total;2001;5.372.433
28 Madrid;Total;2000;5.205.408
28 Madrid;Total;1999;5.145.325
28 Madrid;Total;1998;5.091.336
28 Madrid;Total;1997;""
28 Madrid;Total;1996;5.022.289
29 Málaga;Total;2021;1.695.651
29 Málaga;Total;2020;1.685.920
29 Málaga;Total;2019;1.661.785
29 Málaga;Total;2018;1.641.121
29 Málaga;Total;2017;1.630.615
29 Málaga;Total;2016;1.629.298
29 Málaga;Total;2015;1.628.973
29 Málaga;Total;2014;1.621.968
29 Málaga;Total;2013;1.652.999
29 Málaga;Total;2012;1.641.098
29 Málaga;Total;2011;1.625.827
29 Málaga;Total;2010;1.609.557
29 Málaga;Total;2009;1.593.068
29 Málaga;Total;2008;1.563.261
29 Málaga;Total;2007;1.517.523
29 Málaga;Total;2006;1.491.287
29 Málaga;Total;2005;1.453.409
29 Málaga;Total;2004;1.397.925
29 Málaga;Total;2003;1.374.890
29 Málaga;Total;2002;1.330.010
29 Málaga;Total;2001;1.302.240
29 Málaga;Total;2000;1.278.851
29 Málaga;Total;1999;1.258.084
29 Málaga;Total;1998;1.240.580
29 Málaga;Total;1997;""
29 Málaga;Total;1996;1.249.290
30 Murcia;Total;2021;1.518.486
30 Murcia;Total;2020;1.511.251
30 Murcia;Total;2019;1.493.898
30 Murcia;Total;2018;1.478.509
30 Murcia;Total;2017;1.470.273
30 Murcia;Total;2016;1.464.847
30 Murcia;Total;2015;1.467.288
30 Murcia;Total;2014;1.466.818
30 Murcia;Total;2013;1.472.049
30 Murcia;Total;2012;1.474.449
30 Murcia;Total;2011;1.470.069
30 Murcia;Total;2010;1.461.979
30 Murcia;Total;2009;1.446.520
30 Murcia;Total;2008;1.426.109
30 Murcia;Total;2007;1.392.117
30 Murcia;Total;2006;1.370.306
30 Murcia;Total;2005;1.335.792
30 Murcia;Total;2004;1.294.694
30 Murcia;Total;2003;1.269.230
30 Murcia;Total;2002;1.226.993
30 Murcia;Total;2001;1.190.378
30 Murcia;Total;2000;1.149.328
30 Murcia;Total;1999;1.131.128
30 Murcia;Total;1998;1.115.068
30 Murcia;Total;1997;""
30 Murcia;Total;1996;1.097.249
31 Navarra;Total;2021;661.537
31 Navarra;Total;2020;661.197
31 Navarra;Total;2019;654.214
31 Navarra;Total;2018;647.554
31 Navarra;Total;2017;643.234
31 Navarra;Total;2016;640.647
31 Navarra;Total;2015;640.476
31 Navarra;Total;2014;640.790
31 Navarra;Total;2013;644.477
31 Navarra;Total;2012;644.566
31 Navarra;Total;2011;642.051
31 Navarra;Total;2010;636.924
31 Navarra;Total;2009;630.578
31 Navarra;Total;2008;620.377
31 Navarra;Total;2007;605.876
31 Navarra;Total;2006;601.874
31 Navarra;Total;2005;593.472
31 Navarra;Total;2004;584.734
31 Navarra;Total;2003;578.210
31 Navarra;Total;2002;569.628
31 Navarra;Total;2001;556.263
31 Navarra;Total;2000;543.757
31 Navarra;Total;1999;538.009
31 Navarra;Total;1998;530.819
31 Navarra;Total;1997;""
31 Navarra;Total;1996;520.574
32 Ourense;Total;2021;305.223
32 Ourense;Total;2020;306.650
32 Ourense;Total;2019;307.651
32 Ourense;Total;2018;309.293
32 Ourense;Total;2017;311.680
32 Ourense;Total;2016;314.853
32 Ourense;Total;2015;318.391
32 Ourense;Total;2014;322.293
32 Ourense;Total;2013;326.724
32 Ourense;Total;2012;330.257
32 Ourense;Total;2011;333.257
32 Ourense;Total;2010;335.219
32 Ourense;Total;2009;335.642
32 Ourense;Total;2008;336.099
32 Ourense;Total;2007;336.926
32 Ourense;Total;2006;338.671
32 Ourense;Total;2005;339.555
32 Ourense;Total;2004;340.258
32 Ourense;Total;2003;342.213
32 Ourense;Total;2002;343.768
32 Ourense;Total;2001;344.623
32 Ourense;Total;2000;345.241
32 Ourense;Total;1999;345.620
32 Ourense;Total;1998;344.170
32 Ourense;Total;1997;""
32 Ourense;Total;1996;346.913
34 Palencia;Total;2021;159.123
34 Palencia;Total;2020;160.321
34 Palencia;Total;2019;160.980
34 Palencia;Total;2018;162.035
34 Palencia;Total;2017;163.390
34 Palencia;Total;2016;164.644
34 Palencia;Total;2015;166.035
34 Palencia;Total;2014;167.609
34 Palencia;Total;2013;168.955
34 Palencia;Total;2012;170.713
34 Palencia;Total;2011;171.668
34 Palencia;Total;2010;172.510
34 Palencia;Total;2009;173.306
34 Palencia;Total;2008;173.454
34 Palencia;Total;2007;173.281
34 Palencia;Total;2006;173.153
34 Palencia;Total;2005;173.471
34 Palencia;Total;2004;173.990
34 Palencia;Total;2003;175.047
34 Palencia;Total;2002;176.125
34 Palencia;Total;2001;177.345
34 Palencia;Total;2000;178.316
34 Palencia;Total;1999;179.465
34 Palencia;Total;1998;179.623
34 Palencia;Total;1997;""
34 Palencia;Total;1996;180.571
35 Palmas, Las;Total;2021;1.128.539
35 Palmas, Las;Total;2020;1.131.065
35 Palmas, Las;Total;2019;1.120.406
35 Palmas, Las;Total;2018;1.109.175
35 Palmas, Las;Total;2017;1.100.480
35 Palmas, Las;Total;2016;1.097.800
35 Palmas, Las;Total;2015;1.098.406
35 Palmas, Las;Total;2014;1.100.027
35 Palmas, Las;Total;2013;1.103.850
35 Palmas, Las;Total;2012;1.100.813
35 Palmas, Las;Total;2011;1.096.980
35 Palmas, Las;Total;2010;1.090.605
35 Palmas, Las;Total;2009;1.083.502
35 Palmas, Las;Total;2008;1.070.032
35 Palmas, Las;Total;2007;1.042.131
35 Palmas, Las;Total;2006;1.024.186
35 Palmas, Las;Total;2005;1.011.928
35 Palmas, Las;Total;2004;987.128
35 Palmas, Las;Total;2003;979.606
35 Palmas, Las;Total;2002;951.037
35 Palmas, Las;Total;2001;924.558
35 Palmas, Las;Total;2000;897.595
35 Palmas, Las;Total;1999;872.669
35 Palmas, Las;Total;1998;849.863
35 Palmas, Las;Total;1997;""
35 Palmas, Las;Total;1996;834.085
36 Pontevedra;Total;2021;944.275
36 Pontevedra;Total;2020;945.408
36 Pontevedra;Total;2019;942.665
36 Pontevedra;Total;2018;941.772
36 Pontevedra;Total;2017;942.731
36 Pontevedra;Total;2016;944.346
36 Pontevedra;Total;2015;947.374
36 Pontevedra;Total;2014;950.919
36 Pontevedra;Total;2013;955.050
36 Pontevedra;Total;2012;958.428
36 Pontevedra;Total;2011;963.511
36 Pontevedra;Total;2010;962.472
36 Pontevedra;Total;2009;959.764
36 Pontevedra;Total;2008;953.400
36 Pontevedra;Total;2007;947.639
36 Pontevedra;Total;2006;943.117
36 Pontevedra;Total;2005;938.311
36 Pontevedra;Total;2004;930.931
36 Pontevedra;Total;2003;927.555
36 Pontevedra;Total;2002;919.934
36 Pontevedra;Total;2001;916.176
36 Pontevedra;Total;2000;912.621
36 Pontevedra;Total;1999;908.803
36 Pontevedra;Total;1998;906.298
36 Pontevedra;Total;1997;""
36 Pontevedra;Total;1996;915.104
26 Rioja, La;Total;2021;319.796
26 Rioja, La;Total;2020;319.914
26 Rioja, La;Total;2019;316.798
26 Rioja, La;Total;2018;315.675
26 Rioja, La;Total;2017;315.381
26 Rioja, La;Total;2016;315.794
26 Rioja, La;Total;2015;317.053
26 Rioja, La;Total;2014;319.002
26 Rioja, La;Total;2013;322.027
26 Rioja, La;Total;2012;323.609
26 Rioja, La;Total;2011;322.955
26 Rioja, La;Total;2010;322.415
26 Rioja, La;Total;2009;321.702
26 Rioja, La;Total;2008;317.501
26 Rioja, La;Total;2007;308.968
26 Rioja, La;Total;2006;306.377
26 Rioja, La;Total;2005;301.084
26 Rioja, La;Total;2004;293.553
26 Rioja, La;Total;2003;287.390
26 Rioja, La;Total;2002;281.614
26 Rioja, La;Total;2001;270.400
26 Rioja, La;Total;2000;264.178
26 Rioja, La;Total;1999;265.178
26 Rioja, La;Total;1998;263.644
26 Rioja, La;Total;1997;""
26 Rioja, La;Total;1996;264.941
37 Salamanca;Total;2021;327.338
37 Salamanca;Total;2020;329.245
37 Salamanca;Total;2019;330.119
37 Salamanca;Total;2018;331.473
37 Salamanca;Total;2017;333.603
37 Salamanca;Total;2016;335.985
37 Salamanca;Total;2015;339.395
37 Salamanca;Total;2014;342.459
37 Salamanca;Total;2013;345.548
37 Salamanca;Total;2012;350.564
37 Salamanca;Total;2011;352.986
37 Salamanca;Total;2010;353.619
37 Salamanca;Total;2009;354.608
37 Salamanca;Total;2008;353.404
37 Salamanca;Total;2007;351.326
37 Salamanca;Total;2006;353.110
37 Salamanca;Total;2005;352.414
37 Salamanca;Total;2004;350.984
37 Salamanca;Total;2003;348.271
37 Salamanca;Total;2002;347.120
37 Salamanca;Total;2001;350.209
37 Salamanca;Total;2000;349.733
37 Salamanca;Total;1999;351.128
37 Salamanca;Total;1998;349.550
37 Salamanca;Total;1997;""
37 Salamanca;Total;1996;353.020
38 Santa Cruz de Tenerife;Total;2021;1.044.405
38 Santa Cruz de Tenerife;Total;2020;1.044.887
38 Santa Cruz de Tenerife;Total;2019;1.032.983
38 Santa Cruz de Tenerife;Total;2018;1.018.510
38 Santa Cruz de Tenerife;Total;2017;1.007.641
38 Santa Cruz de Tenerife;Total;2016;1.004.124
38 Santa Cruz de Tenerife;Total;2015;1.001.900
38 Santa Cruz de Tenerife;Total;2014;1.004.788
38 Santa Cruz de Tenerife;Total;2013;1.014.829
38 Santa Cruz de Tenerife;Total;2012;1.017.531
38 Santa Cruz de Tenerife;Total;2011;1.029.789
38 Santa Cruz de Tenerife;Total;2010;1.027.914
38 Santa Cruz de Tenerife;Total;2009;1.020.490
38 Santa Cruz de Tenerife;Total;2008;1.005.936
38 Santa Cruz de Tenerife;Total;2007;983.820
38 Santa Cruz de Tenerife;Total;2006;971.647
38 Santa Cruz de Tenerife;Total;2005;956.352
38 Santa Cruz de Tenerife;Total;2004;928.412
38 Santa Cruz de Tenerife;Total;2003;915.262
38 Santa Cruz de Tenerife;Total;2002;892.718
38 Santa Cruz de Tenerife;Total;2001;856.808
38 Santa Cruz de Tenerife;Total;2000;818.681
38 Santa Cruz de Tenerife;Total;1999;800.020
38 Santa Cruz de Tenerife;Total;1998;780.152
38 Santa Cruz de Tenerife;Total;1997;""
38 Santa Cruz de Tenerife;Total;1996;772.449
40 Segovia;Total;2021;153.663
40 Segovia;Total;2020;153.478
40 Segovia;Total;2019;153.129
40 Segovia;Total;2018;153.342
40 Segovia;Total;2017;154.184
40 Segovia;Total;2016;155.652
40 Segovia;Total;2015;157.570
40 Segovia;Total;2014;159.303
40 Segovia;Total;2013;161.702
40 Segovia;Total;2012;163.701
40 Segovia;Total;2011;164.169
40 Segovia;Total;2010;164.268
40 Segovia;Total;2009;164.854
40 Segovia;Total;2008;163.899
40 Segovia;Total;2007;159.322
40 Segovia;Total;2006;156.598
40 Segovia;Total;2005;155.517
40 Segovia;Total;2004;152.640
40 Segovia;Total;2003;150.701
40 Segovia;Total;2002;149.286
40 Segovia;Total;2001;147.028
40 Segovia;Total;2000;146.613
40 Segovia;Total;1999;146.985
40 Segovia;Total;1998;146.755
40 Segovia;Total;1997;""
40 Segovia;Total;1996;147.770
41 Sevilla;Total;2021;1.947.852
41 Sevilla;Total;2020;1.950.219
41 Sevilla;Total;2019;1.942.389
41 Sevilla;Total;2018;1.939.887
41 Sevilla;Total;2017;1.939.527
41 Sevilla;Total;2016;1.939.775
41 Sevilla;Total;2015;1.941.480
41 Sevilla;Total;2014;1.941.355
41 Sevilla;Total;2013;1.942.155
41 Sevilla;Total;2012;1.938.974
41 Sevilla;Total;2011;1.928.962
41 Sevilla;Total;2010;1.917.097
41 Sevilla;Total;2009;1.900.224
41 Sevilla;Total;2008;1.875.462
41 Sevilla;Total;2007;1.849.268
41 Sevilla;Total;2006;1.835.077
41 Sevilla;Total;2005;1.813.908
41 Sevilla;Total;2004;1.792.420
41 Sevilla;Total;2003;1.782.862
41 Sevilla;Total;2002;1.758.720
41 Sevilla;Total;2001;1.747.441
41 Sevilla;Total;2000;1.734.917
41 Sevilla;Total;1999;1.725.482
41 Sevilla;Total;1998;1.714.845
41 Sevilla;Total;1997;""
41 Sevilla;Total;1996;1.705.320
42 Soria;Total;2021;88.747
42 Soria;Total;2020;88.884
42 Soria;Total;2019;88.636
42 Soria;Total;2018;88.600
42 Soria;Total;2017;88.903
42 Soria;Total;2016;90.040
42 Soria;Total;2015;91.006
42 Soria;Total;2014;92.221
42 Soria;Total;2013;93.291
42 Soria;Total;2012;94.522
42 Soria;Total;2011;95.223
42 Soria;Total;2010;95.258
42 Soria;Total;2009;95.101
42 Soria;Total;2008;94.646
42 Soria;Total;2007;93.593
42 Soria;Total;2006;93.503
42 Soria;Total;2005;92.773
42 Soria;Total;2004;91.652
42 Soria;Total;2003;90.954
42 Soria;Total;2002;91.487
42 Soria;Total;2001;91.314
42 Soria;Total;2000;90.911
42 Soria;Total;1999;91.252
42 Soria;Total;1998;91.593
42 Soria;Total;1997;""
42 Soria;Total;1996;92.848
43 Tarragona;Total;2021;822.309
43 Tarragona;Total;2020;816.772
43 Tarragona;Total;2019;804.664
43 Tarragona;Total;2018;795.902
43 Tarragona;Total;2017;791.693
43 Tarragona;Total;2016;792.299
43 Tarragona;Total;2015;795.101
43 Tarragona;Total;2014;800.962
43 Tarragona;Total;2013;810.178
43 Tarragona;Total;2012;814.199
43 Tarragona;Total;2011;811.401
43 Tarragona;Total;2010;808.420
43 Tarragona;Total;2009;803.301
43 Tarragona;Total;2008;788.895
43 Tarragona;Total;2007;757.795
43 Tarragona;Total;2006;730.466
43 Tarragona;Total;2005;704.907
43 Tarragona;Total;2004;674.144
43 Tarragona;Total;2003;654.149
43 Tarragona;Total;2002;631.156
43 Tarragona;Total;2001;612.086
43 Tarragona;Total;2000;598.533
43 Tarragona;Total;1999;588.499
43 Tarragona;Total;1998;580.245
43 Tarragona;Total;1997;""
43 Tarragona;Total;1996;574.676
44 Teruel;Total;2021;134.545
44 Teruel;Total;2020;134.176
44 Teruel;Total;2019;134.137
44 Teruel;Total;2018;134.572
44 Teruel;Total;2017;135.562
44 Teruel;Total;2016;136.977
44 Teruel;Total;2015;138.932
44 Teruel;Total;2014;140.365
44 Teruel;Total;2013;142.183
44 Teruel;Total;2012;143.728
44 Teruel;Total;2011;144.607
44 Teruel;Total;2010;145.277
44 Teruel;Total;2009;146.751
44 Teruel;Total;2008;146.324
44 Teruel;Total;2007;144.046
44 Teruel;Total;2006;142.160
44 Teruel;Total;2005;141.091
44 Teruel;Total;2004;139.333
44 Teruel;Total;2003;138.686
44 Teruel;Total;2002;137.342
44 Teruel;Total;2001;136.233
44 Teruel;Total;2000;136.473
44 Teruel;Total;1999;136.849
44 Teruel;Total;1998;136.840
44 Teruel;Total;1997;""
44 Teruel;Total;1996;138.211
45 Toledo;Total;2021;709.403
45 Toledo;Total;2020;703.772
45 Toledo;Total;2019;694.844
45 Toledo;Total;2018;687.391
45 Toledo;Total;2017;686.841
45 Toledo;Total;2016;688.672
45 Toledo;Total;2015;693.371
45 Toledo;Total;2014;699.136
45 Toledo;Total;2013;706.407
45 Toledo;Total;2012;711.228
45 Toledo;Total;2011;707.242
45 Toledo;Total;2010;697.959
45 Toledo;Total;2009;689.635
45 Toledo;Total;2008;670.203
45 Toledo;Total;2007;639.621
45 Toledo;Total;2006;615.618
45 Toledo;Total;2005;598.256
45 Toledo;Total;2004;578.060
45 Toledo;Total;2003;563.099
45 Toledo;Total;2002;546.538
45 Toledo;Total;2001;536.131
45 Toledo;Total;2000;527.965
45 Toledo;Total;1999;523.459
45 Toledo;Total;1998;519.664
45 Toledo;Total;1997;""
45 Toledo;Total;1996;515.880
46 Valencia/València;Total;2021;2.589.312
46 Valencia/València;Total;2020;2.591.875
46 Valencia/València;Total;2019;2.565.124
46 Valencia/València;Total;2018;2.547.986
46 Valencia/València;Total;2017;2.540.707
46 Valencia/València;Total;2016;2.544.264
46 Valencia/València;Total;2015;2.543.315
46 Valencia/València;Total;2014;2.548.898
46 Valencia/València;Total;2013;2.566.474
46 Valencia/València;Total;2012;2.580.792
46 Valencia/València;Total;2011;2.578.719
46 Valencia/València;Total;2010;2.581.147
46 Valencia/València;Total;2009;2.575.362
46 Valencia/València;Total;2008;2.543.209
46 Valencia/València;Total;2007;2.486.483
46 Valencia/València;Total;2006;2.463.592
46 Valencia/València;Total;2005;2.416.628
46 Valencia/València;Total;2004;2.358.919
46 Valencia/València;Total;2003;2.320.297
46 Valencia/València;Total;2002;2.267.503
46 Valencia/València;Total;2001;2.227.170
46 Valencia/València;Total;2000;2.201.200
46 Valencia/València;Total;1999;2.187.633
46 Valencia/València;Total;1998;2.172.796
46 Valencia/València;Total;1997;""
46 Valencia/València;Total;1996;2.172.840
47 Valladolid;Total;2021;519.361
47 Valladolid;Total;2020;520.649
47 Valladolid;Total;2019;519.546
47 Valladolid;Total;2018;519.851
47 Valladolid;Total;2017;521.130
47 Valladolid;Total;2016;523.679
47 Valladolid;Total;2015;526.288
47 Valladolid;Total;2014;529.157
47 Valladolid;Total;2013;532.284
47 Valladolid;Total;2012;534.280
47 Valladolid;Total;2011;534.874
47 Valladolid;Total;2010;533.640
47 Valladolid;Total;2009;532.575
47 Valladolid;Total;2008;529.019
47 Valladolid;Total;2007;521.661
47 Valladolid;Total;2006;519.249
47 Valladolid;Total;2005;514.674
47 Valladolid;Total;2004;510.863
47 Valladolid;Total;2003;506.302
47 Valladolid;Total;2002;501.157
47 Valladolid;Total;2001;497.961
47 Valladolid;Total;2000;495.690
47 Valladolid;Total;1999;494.594
47 Valladolid;Total;1998;492.029
47 Valladolid;Total;1997;""
47 Valladolid;Total;1996;490.205
49 Zamora;Total;2021;168.725
49 Zamora;Total;2020;170.588
49 Zamora;Total;2019;172.539
49 Zamora;Total;2018;174.549
49 Zamora;Total;2017;177.404
49 Zamora;Total;2016;180.406
49 Zamora;Total;2015;183.436
49 Zamora;Total;2014;185.432
49 Zamora;Total;2013;188.270
49 Zamora;Total;2012;191.612
49 Zamora;Total;2011;193.383
49 Zamora;Total;2010;194.214
49 Zamora;Total;2009;195.665
49 Zamora;Total;2008;197.221
49 Zamora;Total;2007;197.237
49 Zamora;Total;2006;197.492
49 Zamora;Total;2005;198.045
49 Zamora;Total;2004;198.524
49 Zamora;Total;2003;199.688
49 Zamora;Total;2002;200.678
49 Zamora;Total;2001;202.356
49 Zamora;Total;2000;203.469
49 Zamora;Total;1999;204.650
49 Zamora;Total;1998;205.201
49 Zamora;Total;1997;""
49 Zamora;Total;1996;207.475
50 Zaragoza;Total;2021;967.452
50 Zaragoza;Total;2020;972.528
50 Zaragoza;Total;2019;964.693
50 Zaragoza;Total;2018;954.811
50 Zaragoza;Total;2017;953.486
50 Zaragoza;Total;2016;950.507
50 Zaragoza;Total;2015;956.006
50 Zaragoza;Total;2014;960.111
50 Zaragoza;Total;2013;978.638
50 Zaragoza;Total;2012;978.130
50 Zaragoza;Total;2011;973.325
50 Zaragoza;Total;2010;973.252
50 Zaragoza;Total;2009;970.313
50 Zaragoza;Total;2008;955.323
50 Zaragoza;Total;2007;932.502
50 Zaragoza;Total;2006;917.288
50 Zaragoza;Total;2005;912.072
50 Zaragoza;Total;2004;897.350
50 Zaragoza;Total;2003;880.118
50 Zaragoza;Total;2002;871.209
50 Zaragoza;Total;2001;857.565
50 Zaragoza;Total;2000;848.006
50 Zaragoza;Total;1999;844.571
50 Zaragoza;Total;1998;841.438
50 Zaragoza;Total;1997;""
50 Zaragoza;Total;1996;842.419
51 Ceuta;Total;2021;83.517
51 Ceuta;Total;2020;84.202
51 Ceuta;Total;2019;84.777
51 Ceuta;Total;2018;85.144
51 Ceuta;Total;2017;84.959
51 Ceuta;Total;2016;84.519
51 Ceuta;Total;2015;84.263
51 Ceuta;Total;2014;84.963
51 Ceuta;Total;2013;84.180
51 Ceuta;Total;2012;84.018
51 Ceuta;Total;2011;82.376
51 Ceuta;Total;2010;80.579
51 Ceuta;Total;2009;78.674
51 Ceuta;Total;2008;77.389
51 Ceuta;Total;2007;76.603
51 Ceuta;Total;2006;75.861
51 Ceuta;Total;2005;75.276
51 Ceuta;Total;2004;74.654
51 Ceuta;Total;2003;74.931
51 Ceuta;Total;2002;76.152
51 Ceuta;Total;2001;75.694
51 Ceuta;Total;2000;75.241
51 Ceuta;Total;1999;73.704
51 Ceuta;Total;1998;72.117
51 Ceuta;Total;1997;""
51 Ceuta;Total;1996;68.796
52 Melilla;Total;2021;86.261
52 Melilla;Total;2020;87.076
52 Melilla;Total;2019;86.487
52 Melilla;Total;2018;86.384
52 Melilla;Total;2017;86.120
52 Melilla;Total;2016;86.026
52 Melilla;Total;2015;85.584
52 Melilla;Total;2014;84.509
52 Melilla;Total;2013;83.679
52 Melilla;Total;2012;80.802
52 Melilla;Total;2011;78.476
52 Melilla;Total;2010;76.034
52 Melilla;Total;2009;73.460
52 Melilla;Total;2008;71.448
52 Melilla;Total;2007;69.440
52 Melilla;Total;2006;66.871
52 Melilla;Total;2005;65.488
52 Melilla;Total;2004;68.016
52 Melilla;Total;2003;68.463
52 Melilla;Total;2002;69.184
52 Melilla;Total;2001;68.789
52 Melilla;Total;2000;66.263
52 Melilla;Total;1999;56.929
52 Melilla;Total;1998;60.108
52 Melilla;Total;1997;""
52 Melilla;Total;1996;59.576
