Provincias;Sexo;Periodo;Total
05 Ávila;Total;2003;165.480
05 Ávila;Total;2002;165.138
05 Ávila;Total;2001;163.885
05 Ávila;Total;2000;164.991
05 Ávila;Total;1999;166.259
05 Ávila;Total;1998;167.132
05 Ávila;Total;1997;""
05 Ávila;Total;1996;169.342
06 Badajoz;Total;2021;669.943
06 Badajoz;Total;2020;672.137
06 Badajoz;Total;2019;673.559
06 Badajoz;Total;2018;676.376
06 Badajoz;Total;2017;679.884
06 Badajoz;Total;2016;684.113
06 Badajoz;Total;2015;686.730
06 Badajoz;Total;2014;690.929
06 Badajoz;Total;2013;693.729
06 Badajoz;Total;2012;694.533
06 Badajoz;Total;2011;693.921
06 Badajoz;Total;2010;692.137
06 Badajoz;Total;2009;688.777
06 Badajoz;Total;2008;685.246
06 Badajoz;Total;2007;678.459
06 Badajoz;Total;2006;673.474
06 Badajoz;Total;2005;671.299
06 Badajoz;Total;2004;663.896
06 Badajoz;Total;2003;663.142
06 Badajoz;Total;2002;662.808
06 Badajoz;Total;2001;664.251
06 Badajoz;Total;2000;661.874
06 Badajoz;Total;1999;664.625
06 Badajoz;Total;1998;663.803
06 Badajoz;Total;1997;""
06 Badajoz;Total;1996;656.848
07 Balears, Illes;Total;2021;1.173.008
07 Balears, Illes;Total;2020;1.171.543
07 Balears, Illes;Total;2019;1.149.460
07 Balears, Illes;Total;2018;1.128.908
07 Balears, Illes;Total;2017;1.115.999
07 Balears, Illes;Total;2016;1.107.220
07 Balears, Illes;Total;2015;1.104.479
07 Balears, Illes;Total;2014;1.103.442
07 Balears, Illes;Total;2013;1.111.674
07 Balears, Illes;Total;2012;1.119.439
07 Balears, Illes;Total;2011;1.113.114
07 Balears, Illes;Total;2010;1.106.049
07 Balears, Illes;Total;2009;1.095.426
07 Balears, Illes;Total;2008;1.072.844
07 Balears, Illes;Total;2007;1.030.650
07 Balears, Illes;Total;2006;1.001.062
07 Balears, Illes;Total;2005;983.131
07 Balears, Illes;Total;2004;955.045
