Edad simple;Provincias;Sexo;Periodo;Total
Todas las edades;02 Albacete;Total;1 de abril de 2019;""
Todas las edades;02 Albacete;Total;1 de enero de 2019;387.818
Todas las edades;02 Albacete;Total;1 de octubre de 2018;""
Todas las edades;02 Albacete;Total;1 de julio de 2018;387.804
Todas las edades;02 Albacete;Total;1 de abril de 2018;""
Todas las edades;02 Albacete;Total;1 de enero de 2018;388.948
Todas las edades;02 Albacete;Total;1 de octubre de 2017;""
Todas las edades;02 Albacete;Total;1 de julio de 2017;388.964
Todas las edades;02 Albacete;Total;1 de abril de 2017;""
Todas las edades;02 Albacete;Total;1 de enero de 2017;390.225
Todas las edades;02 Albacete;Total;1 de octubre de 2016;""
Todas las edades;02 Albacete;Total;1 de julio de 2016;390.823
Todas las edades;02 Albacete;Total;1 de abril de 2016;""
Todas las edades;02 Albacete;Total;1 de enero de 2016;391.865
Todas las edades;02 Albacete;Total;1 de octubre de 2015;""
Todas las edades;02 Albacete;Total;1 de julio de 2015;392.673
Todas las edades;02 Albacete;Total;1 de abril de 2015;""
Todas las edades;02 Albacete;Total;1 de enero de 2015;394.012
Todas las edades;02 Albacete;Total;1 de octubre de 2014;""
Todas las edades;02 Albacete;Total;1 de julio de 2014;394.908
Todas las edades;02 Albacete;Total;1 de abril de 2014;""
Todas las edades;02 Albacete;Total;1 de enero de 2014;396.017
Todas las edades;02 Albacete;Total;1 de octubre de 2013;""
Todas las edades;02 Albacete;Total;1 de julio de 2013;397.245
Todas las edades;02 Albacete;Total;1 de abril de 2013;""
Todas las edades;02 Albacete;Total;1 de enero de 2013;399.093
Todas las edades;02 Albacete;Total;1 de octubre de 2012;""
Todas las edades;02 Albacete;Total;1 de julio de 2012;400.147
Todas las edades;02 Albacete;Total;1 de abril de 2012;""
Todas las edades;02 Albacete;Total;1 de enero de 2012;401.590
Todas las edades;02 Albacete;Total;1 de octubre de 2011;""
Todas las edades;02 Albacete;Total;1 de julio de 2011;401.254
Todas las edades;02 Albacete;Total;1 de abril de 2011;""
Todas las edades;02 Albacete;Total;1 de enero de 2011;400.847
Todas las edades;02 Albacete;Total;1 de octubre de 2010;""
Todas las edades;02 Albacete;Total;1 de julio de 2010;399.967
Todas las edades;02 Albacete;Total;1 de abril de 2010;""
Todas las edades;02 Albacete;Total;1 de enero de 2010;399.448
Todas las edades;02 Albacete;Total;1 de octubre de 2009;""
Todas las edades;02 Albacete;Total;1 de julio de 2009;398.645
Todas las edades;02 Albacete;Total;1 de abril de 2009;""
Todas las edades;02 Albacete;Total;1 de enero de 2009;397.881
Todas las edades;02 Albacete;Total;1 de octubre de 2008;""
Todas las edades;02 Albacete;Total;1 de julio de 2008;396.292
Todas las edades;02 Albacete;Total;1 de abril de 2008;""
Todas las edades;02 Albacete;Total;1 de enero de 2008;394.521
Todas las edades;02 Albacete;Total;1 de octubre de 2007;""
Todas las edades;02 Albacete;Total;1 de julio de 2007;392.025
Todas las edades;02 Albacete;Total;1 de abril de 2007;""
Todas las edades;02 Albacete;Total;1 de enero de 2007;389.127
Todas las edades;02 Albacete;Total;1 de octubre de 2006;""
Todas las edades;02 Albacete;Total;1 de julio de 2006;386.095
Todas las edades;02 Albacete;Total;1 de abril de 2006;""
Todas las edades;02 Albacete;Total;1 de enero de 2006;383.458
Todas las edades;02 Albacete;Total;1 de octubre de 2005;""
Todas las edades;02 Albacete;Total;1 de julio de 2005;381.393
Todas las edades;02 Albacete;Total;1 de abril de 2005;""
Todas las edades;02 Albacete;Total;1 de enero de 2005;379.276
Todas las edades;03 Alicante/Alacant;Total;1 de enero de 2023;1.955.268
Todas las edades;03 Alicante/Alacant;Total;1 de octubre de 2022;1.943.936
Todas las edades;03 Alicante/Alacant;Total;1 de julio de 2022;1.931.217
Todas las edades;03 Alicante/Alacant;Total;1 de abril de 2022;1.917.105
Todas las edades;03 Alicante/Alacant;Total;1 de enero de 2022;1.907.494
Todas las edades;03 Alicante/Alacant;Total;1 de octubre de 2021;1.899.737
Todas las edades;03 Alicante/Alacant;Total;1 de julio de 2021;1.891.867
Todas las edades;03 Alicante/Alacant;Total;1 de abril de 2021;1.888.399
Todas las edades;03 Alicante/Alacant;Total;1 de enero de 2021;1.887.036
Todas las edades;03 Alicante/Alacant;Total;1 de octubre de 2020;""
Todas las edades;03 Alicante/Alacant;Total;1 de julio de 2020;1.881.459
Todas las edades;03 Alicante/Alacant;Total;1 de abril de 2020;""
Todas las edades;03 Alicante/Alacant;Total;1 de enero de 2020;1.877.627
Todas las edades;03 Alicante/Alacant;Total;1 de octubre de 2019;""
Todas las edades;03 Alicante/Alacant;Total;1 de julio de 2019;1.865.814
Todas las edades;03 Alicante/Alacant;Total;1 de abril de 2019;""
Todas las edades;03 Alicante/Alacant;Total;1 de enero de 2019;1.855.384
Todas las edades;03 Alicante/Alacant;Total;1 de octubre de 2018;""
Todas las edades;03 Alicante/Alacant;Total;1 de julio de 2018;1.841.763
Todas las edades;03 Alicante/Alacant;Total;1 de abril de 2018;""
Todas las edades;03 Alicante/Alacant;Total;1 de enero de 2018;1.839.319
Todas las edades;03 Alicante/Alacant;Total;1 de octubre de 2017;""
Todas las edades;03 Alicante/Alacant;Total;1 de julio de 2017;1.832.843
Todas las edades;03 Alicante/Alacant;Total;1 de abril de 2017;""
Todas las edades;03 Alicante/Alacant;Total;1 de enero de 2017;1.836.715
Todas las edades;03 Alicante/Alacant;Total;1 de octubre de 2016;""
Todas las edades;03 Alicante/Alacant;Total;1 de julio de 2016;1.834.916
Todas las edades;03 Alicante/Alacant;Total;1 de abril de 2016;""
Todas las edades;03 Alicante/Alacant;Total;1 de enero de 2016;1.837.873
Todas las edades;03 Alicante/Alacant;Total;1 de octubre de 2015;""
Todas las edades;03 Alicante/Alacant;Total;1 de julio de 2015;1.835.711
Todas las edades;03 Alicante/Alacant;Total;1 de abril de 2015;""
Todas las edades;03 Alicante/Alacant;Total;1 de enero de 2015;1.838.578
Todas las edades;03 Alicante/Alacant;Total;1 de octubre de 2014;""
Todas las edades;03 Alicante/Alacant;Total;1 de julio de 2014;1.845.264
Todas las edades;03 Alicante/Alacant;Total;1 de abril de 2014;""
Todas las edades;03 Alicante/Alacant;Total;1 de enero de 2014;1.848.236
Todas las edades;03 Alicante/Alacant;Total;1 de octubre de 2013;""
Todas las edades;03 Alicante/Alacant;Total;1 de julio de 2013;1.848.562
Todas las edades;03 Alicante/Alacant;Total;1 de abril de 2013;""
Todas las edades;03 Alicante/Alacant;Total;1 de enero de 2013;1.852.733
Todas las edades;03 Alicante/Alacant;Total;1 de octubre de 2012;""
Todas las edades;03 Alicante/Alacant;Total;1 de julio de 2012;1.852.383
Todas las edades;03 Alicante/Alacant;Total;1 de abril de 2012;""
Todas las edades;03 Alicante/Alacant;Total;1 de enero de 2012;1.853.209
Todas las edades;03 Alicante/Alacant;Total;1 de octubre de 2011;""
Todas las edades;03 Alicante/Alacant;Total;1 de julio de 2011;1.847.587
Todas las edades;03 Alicante/Alacant;Total;1 de abril de 2011;""
Todas las edades;03 Alicante/Alacant;Total;1 de enero de 2011;1.844.439
Todas las edades;03 Alicante/Alacant;Total;1 de octubre de 2010;""
Todas las edades;03 Alicante/Alacant;Total;1 de julio de 2010;1.840.159
Todas las edades;03 Alicante/Alacant;Total;1 de abril de 2010;""
Todas las edades;03 Alicante/Alacant;Total;1 de enero de 2010;1.840.085
Todas las edades;03 Alicante/Alacant;Total;1 de octubre de 2009;""
Todas las edades;03 Alicante/Alacant;Total;1 de julio de 2009;1.837.673
Todas las edades;03 Alicante/Alacant;Total;1 de abril de 2009;""
Todas las edades;03 Alicante/Alacant;Total;1 de enero de 2009;1.836.134
Todas las edades;03 Alicante/Alacant;Total;1 de octubre de 2008;""
Todas las edades;03 Alicante/Alacant;Total;1 de julio de 2008;1.828.487
Todas las edades;03 Alicante/Alacant;Total;1 de abril de 2008;""
Todas las edades;03 Alicante/Alacant;Total;1 de enero de 2008;1.817.519
Todas las edades;03 Alicante/Alacant;Total;1 de octubre de 2007;""
Todas las edades;03 Alicante/Alacant;Total;1 de julio de 2007;1.793.377
Todas las edades;03 Alicante/Alacant;Total;1 de abril de 2007;""
Todas las edades;03 Alicante/Alacant;Total;1 de enero de 2007;1.766.320
Todas las edades;03 Alicante/Alacant;Total;1 de octubre de 2006;""
Todas las edades;03 Alicante/Alacant;Total;1 de julio de 2006;1.739.193
Todas las edades;03 Alicante/Alacant;Total;1 de abril de 2006;""
Todas las edades;03 Alicante/Alacant;Total;1 de enero de 2006;1.713.934
Todas las edades;03 Alicante/Alacant;Total;1 de octubre de 2005;""
Todas las edades;03 Alicante/Alacant;Total;1 de julio de 2005;1.688.959
Todas las edades;03 Alicante/Alacant;Total;1 de abril de 2005;""
Todas las edades;03 Alicante/Alacant;Total;1 de enero de 2005;1.661.660
